gene	logFC	logCPM	PValue	adj_pval	Status
A1BG	-16.0872987432608	6.16655900701182	1.05608754635509e-125	9.47416137835155e-122	Down
A1CF	-14.6310732267746	4.64906378956239	1.0810444236678e-122	9.69804952472386e-119	Down
A2M	-22.7555116160963	12.8685295503016	2.4759176144243e-183	2.22114569190004e-179	Down
AAAS	2.01890145690888	6.65005531904532	1.71791528990628e-25	1.54114180657493e-21	UP
AACS	-15.2556410391749	5.30663962357536	1.65894491242319e-120	1.48823948093485e-116	Down
AAGAB	16.5035099192152	6.64233618162829	9.89382934073966e-165	8.87575430157755e-161	UP
AAMDC	-0.354067258496267	3.37493347311833	0.148900970424332	1	NoDE
AAMP	-16.4074309372581	6.49322221515858	2.15870475759229e-194	1.93657403803604e-190	Down
AAR2	-1.80230781451633	5.19609421441045	4.61626098956176e-17	4.14124773373586e-13	NoDE
AARS	-0.565380959082532	8.67682658650223	0.0207603587846024	1	NoDE
AARS2	-13.7158248963998	3.64608359247813	2.75266001389444e-109	2.4694112984647e-105	Down
AARSD1	2.40880979383436	5.00940417043377	4.72806945815602e-23	4.24155111091176e-19	UP
AASDH	13.4975891173396	3.76884777054105	2.419141445998e-72	2.17021179120481e-68	UP
AASDHPPT	4.06045888901619	6.76012176402737	6.68110558066057e-73	5.9936198164106e-69	UP
AATF	-0.955167958785346	5.35387656982864	2.51721995280686e-06	0.0225819801966304	NoDE
ABALON	-14.334017992033	4.32609020331617	5.88793265582107e-58	5.28206438553708e-54	Down
ABAT	-15.1125571202933	5.15770558385619	7.21428995657147e-156	6.47193952004027e-152	Down
ABCA1	-16.1423793130409	6.22302139040773	8.48569566578972e-116	7.61251758177995e-112	Down
ABCA7	-15.239244977459	5.28985075132405	1.1121677860017e-144	9.97725720822121e-141	Down
ABCB1	-14.9694575616083	5.00516447782914	6.4234123020012e-64	5.76244317612527e-60	Down
ABCB10	1.27760610225551	5.660041523709	2.01192717767369e-09	1.80489987109107e-05	NoDE
ABCB6	-16.1960969733221	6.27716063786658	2.62307826182297e-148	2.35316350868139e-144	Down
ABCB7	14.5322273519951	4.73411898469833	2.4791722072466e-91	2.22406538712092e-87	UP
ABCC1	-15.5917361477623	5.65601802766597	1.62661131455763e-148	1.45923301028965e-144	Down
ABCC2	-18.5311925881308	8.638242582032	6.01184057162736e-265	5.3932221768069e-261	Down
ABCC4	13.7033449443907	3.958266564419	5.68290720644835e-78	5.09813605490481e-74	UP
ABCC5	15.0555000869324	5.23338434396747	1.30825662668974e-107	1.17363701980337e-103	UP
ABCC6	-11.5362564028093	0.802312348072779	3.29182972178455e-31	2.95310044341292e-27	Down
ABCC6P1	-14.9413514514559	4.97775223220934	9.43466836273399e-150	8.46384098820866e-146	Down
ABCC6P2	-11.5514556638459	0.834425633099462	2.86320459712798e-24	2.56858084408351e-20	Down
ABCD1	-15.2418085113433	5.29248201970967	4.93464847577345e-141	4.42687314761636e-137	Down
ABCD3	-1.26598643941807	5.50247308688304	6.21691774553573e-09	5.5771969095201e-05	NoDE
ABCD4	-14.5316740177935	4.54216161967249	5.4449343091398e-131	4.88465056872932e-127	Down
ABCE1	3.06978632656106	7.95783928027375	1.00792275215198e-44	9.04207500955542e-41	UP
ABCF1	-0.668394112651741	7.05137565735923	0.000283343361041365	1	NoDE
ABCF2	3.72393355604258	8.11561038951157	2.72203522062628e-51	2.44193779642383e-47	UP
ABCF3	-0.650207609659488	4.46751202820788	0.100947410401487	1	NoDE
ABCG5	-14.4379105913803	4.44254447678461	1.17602636351362e-98	1.05501325070807e-94	Down
ABCG8	-13.4001677760083	3.28540983921545	2.90301865674959e-86	2.60429803697006e-82	Down
ABHD10	1.09232446612737	3.32778822874696	2.11918871955251e-05	0.190112420031055	NoDE
ABHD11	11.6227198979724	2.1000165867353	7.523126522215e-38	6.74899680307908e-34	UP
ABHD12	-15.1077134904594	5.15282551654688	6.5812260168789e-142	5.90401785974206e-138	Down
ABHD14A	-13.1209090360467	2.94807793531875	4.56256386254891e-52	4.09307604109263e-48	Down
