gene	logFC	logCPM	PValue	adj_pval	Status
A1BG	-9.32245992888033	8.10879363734731	1.60236189980307e-20	2.64181406420533e-16	Down
A1BG-AS1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
A1CF	-4.73536964052289	4.57846989453987	0.0410641209087223	1	NoDE
A2M	-13.8748579381643	12.5661388316325	1.38352848091227e-66	2.28102340648006e-62	Down
A4GALT	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AAAS	1.31068874823666	5.73798146683956	0.141706340890853	1	NoDE
AACS	-3.56664541631529	5.3557849274381	0.00139604753166325	1	NoDE
AADACP1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AADAT	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AAGAB	1.33326242141642	5.07110657807094	0.18129139293376	1	NoDE
AAK1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AAMDC	-3.07786314806624	4.0075926885868	0.509876961469158	1	NoDE
AAMP	-0.90551903971035	8.02227622500063	0.0379664614995361	1	NoDE
AAR2	-1.13267105295132	6.15995590061662	0.0954700339856775	1	NoDE
AARS	0.847332476630102	8.53827901754677	0.0461247034126082	1	NoDE
AARS2	4.731091597547	4.49150103525002	0.0411143292811638	1	NoDE
AARSD1	1.96457196243877	5.3876088595729	0.023392478351035	1	NoDE
AASDH	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AASDHPPT	-0.184468589446936	4.59642319437863	1	1	NoDE
AASS	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AATF	1.89786978516362	6.79022471803478	0.000566779153937449	1	NoDE
AATK	-4.53079419020779	4.48353943657499	0.0752857773975135	1	NoDE
ABAT	-2.25158508896242	3.86072184680532	0.999999999999999	1	NoDE
ABCA11P	-2.25158508896242	3.86072184680532	0.999999999999999	1	NoDE
ABCA17P	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCA2	-3.07786314806624	4.0075926885868	0.509876961469158	1	NoDE
ABCA3	2.44119085682718	3.86315828578703	0.999999999999999	1	NoDE
ABCA5	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCA6	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCA7	1.05484373164292	4.49579162684711	0.705117421283756	1	NoDE
ABCA8	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCB1	-4.31644413229355	4.39119891016252	0.0752201858203738	1	NoDE
ABCB10	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCB10P1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCB10P3	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCB10P4	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
ABCB4	-3.04873417201788	3.99739339910455	0.509876961469158	1	NoDE
ABCB6	-2.43698650987763	6.56976342671982	7.6926055689394e-05	1	NoDE
ABCB7	2.09274779518841	4.85015629242007	0.0551219897985705	1	NoDE
ABCB8	2.07847700533781	5.67006399420564	0.00776071784672896	1	NoDE
ABCB9	0.205534432866122	5.01485950915062	1	1	NoDE
ABCC1	1.13049434157657	5.00285017188427	0.430253750275909	1	NoDE
ABCC10	-2.84355252952749	4.92321004542843	0.0328872524699667	1	NoDE
ABCC2	-5.86870280094773	5.22839331583053	0.000347572039091896	1	NoDE
ABCC3	-4.68604996425593	4.55946072581474	0.0410832741967865	1	NoDE
ABCC4	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
ABCC5	0.0504279262866827	5.23144026632361	1	1	NoDE
ABCC6	-7.39392829036828	6.37934085996822	1.75893906771334e-09	2.89996284093899e-05	Down
ABCC6P1	-5.89883672306612	5.2455145309112	0.000344354349413528	1	NoDE
ABCC6P2	-4.76034663081902	4.5880351516361	0.0410549031346749	1	NoDE
ABCD1	-2.4085870806427	6.36736400769997	0.000398107487537013	1	NoDE
ABCD2	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCD3	-3.30739170775974	5.19078592395577	0.00400951666746271	1	NoDE
ABCD4	-3.56581059701785	4.13006490288449	0.509876961469158	1	NoDE
ABCE1	2.23579477336644	4.49815912130079	0.246184660681126	1	NoDE
ABCF1	0.340944232169857	7.15512975629639	0.468878792335681	1	NoDE
ABCF2	1.14152320833874	6.28335121932524	0.0990261095899848	1	NoDE
ABCF3	-0.0389773417834074	5.77812120969537	1	1	NoDE
ABCG1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCG2	2.44119085682718	3.86315828578703	0.999999999999999	1	NoDE
ABCG5	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABCG8	-3.9962799948603	4.27073796121879	0.139956212234839	1	NoDE
ABHD10	0.22939663023811	5.27398713016484	1	1	NoDE
ABHD11	1.24195605607993	4.78401181531884	0.215336663212	1	NoDE
ABHD11-AS1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABHD12	-2.65399119066328	6.32608746125131	0.00011478503861311	1	NoDE
ABHD13	-1.18108295790956	4.28313443938218	0.63939313211043	1	NoDE
ABHD14A	-1.8708694100008	5.58655776651787	0.0480424266543341	1	NoDE
ABHD14A-ACY1	-0.44859721625096	5.83571069822074	0.491678108210638	1	NoDE
ABHD14B	0.128771339288084	7.13013510276041	0.805848664532299	1	NoDE
ABHD15	-1.1561496646861	4.25404050339187	1	1	NoDE
ABHD16A	0.997994298838755	6.45655693485352	0.0994459562573098	1	NoDE
ABHD17A	-0.755715339762393	7.39845289833886	0.0884898984838055	1	NoDE
ABHD17AP1	0.219968864199059	4.01000902863469	1	1	NoDE
ABHD17AP5	-2.25158508896242	3.86072184680532	0.999999999999999	1	NoDE
ABHD17B	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABHD17C	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABHD18	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
ABHD2	-2.14698630529994	4.59105065265579	0.15091019163043	1	NoDE
ABHD3	-1.67209633180034	4.86123362037737	0.213812487754878	1	NoDE
ABHD4	-2.29888966773214	6.2499103129305	0.000321307010468703	1	NoDE
ABHD5	1.01750392660608	5.14273714244769	0.30864093308186	1	NoDE
ABHD6	-3.96890287464428	4.2607933121556	0.264815442203737	1	NoDE
ABHD8	-1.09749993275011	5.55104317421381	0.214872163000875	1	NoDE
ABI1	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
ABI2	-3.96890287464428	4.2607933121556	0.264815442203737	1	NoDE
ABI3	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABL1	1.35849131533189	6.65503125643166	0.0127092194349809	1	NoDE
ABLIM1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABO	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
ABR	-3.62227381473674	4.15020570750031	0.264815442203737	1	NoDE
ABRACL	2.56274120305193e-15	3.68555568352988	1	1	NoDE
ABRAXAS1	1.1140294021984	4.47641603118975	0.399136526339327	1	NoDE
ABRAXAS2	-0.636672291239059	4.15261601631072	1	1	NoDE
ABT1	-0.363686393989942	6.6009582184025	0.52079847418545	1	NoDE
ABTB1	-2.22122199262812	3.85036194419904	0.999999999999999	1	NoDE
ABTB2	-2.22122199262812	3.85036194419904	0.999999999999999	1	NoDE
AC000068.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC000068.3	-2.22122199262812	3.85036194419904	0.999999999999999	1	NoDE
AC000089.1	0.219968864199059	4.01000902863469	1	1	NoDE
AC000120.2	-1.66898721549608	5.1869870725597	0.121084460080745	1	NoDE
AC000123.2	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC000123.3	2.40966093233175	3.85369189277556	0.999999999999999	1	NoDE
AC002056.1	0.625525594251965	4.59878015083783	1	1	NoDE
AC002064.3	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002091.2	2.56274120305193e-15	3.68555568352988	1	1	NoDE
AC002094.1	2.56274120305193e-15	3.68555568352988	1	1	NoDE
