gene	logFC	logCPM	PValue	adj_pval	Status
A1BG	-5.04133101002796	6.4472983266181	8.50156010351232e-23	1.40165221426608e-18	Down
A1BG-AS1	4.02296117915242	1.93263923307281	0.263258435735176	1	NoDE
A1CF	-8.31255171776178	4.79018734420675	6.30164515882352e-14	1.03895223733523e-09	Down
A2M	-13.7295684758373	10.0927523996872	4.832528424719e-62	7.96738961383422e-58	Down
A4GALT	0	1.36117483691085	1	1	NoDE
AAAS	0.128077249636878	6.25152555504413	0.784242223658442	1	NoDE
AACS	-1.5968329893717	4.16467531698015	0.0150061589284816	1	NoDE
AADACP1	-4.13731823340682	1.95296160582202	0.138371624594686	1	NoDE
AADAT	-4.11104269859373	1.94256713088304	0.138371624594686	1	NoDE
AAGAB	2.49588060450222	5.96629091022111	1.98557898266567e-08	0.00032736240687209	UP
AAK1	-2.12282290349972	2.1583600087751	0.243126123259491	1	NoDE
AAMDC	-3.38934270156766	4.16497345684419	6.72086415019539e-06	0.110806887244271	NoDE
AAMP	-0.552766017254908	8.2792761599849	0.107953520499297	1	NoDE
AAR2	-0.823014577668799	6.3315437396464	0.0311655899369027	1	NoDE
AARS	0.111003924078025	6.50772877171382	0.791918998808819	1	NoDE
AARS2	0.774127928991852	3.18705461655861	0.467574476358241	1	NoDE
AARSD1	2.04662831146269	5.22418809467422	5.84920479212851e-05	0.964358394078228	NoDE
AASDH	-1.13524684878288	3.07807642570822	0.156552371862918	1	NoDE
AASDHPPT	1.25077982626923	6.28882195177207	0.00109535445217325	1	NoDE
AASS	-4.45884515631983	2.07522678584479	0.0738666677253546	1	NoDE
AATF	2.05967927728965	7.05051715039825	4.65346992475658e-08	0.000767217586494618	UP
AATK	-1.89316100098775	2.09387015922903	0.247565143091683	1	NoDE
ABAT	-7.11837860351428	3.75148488528511	1.62232793360196e-07	0.00267473206412956	Down
ABCA11P	0.169638966664572	2.60850015447148	1	1	NoDE
ABCA17P	2.28479708846788	1.52759333656198	0.999999999999999	1	NoDE
ABCA2	0	1.36117483691085	1	1	NoDE
ABCA3	1.3431066780725	1.94882350076161	0.637918869156647	1	NoDE
ABCA5	-0.954170938413753	1.83115365160943	1	1	NoDE
ABCA6	0	1.36117483691085	1	1	NoDE
ABCA7	-1.47978974942225	3.06202157329949	0.0900657486347916	1	NoDE
ABCA8	3.14268959005504	1.68454306910267	0.508838957156784	1	NoDE
ABCB1	-5.38071022301392	2.52771649996137	0.00398134779751594	1	NoDE
ABCB10	1.43909955872542	2.35844741708112	0.322763629171397	1	NoDE
ABCB10P1	3.16398140389671	1.69294184226586	0.508838957156784	1	NoDE
ABCB10P3	3.16398140389671	1.69294184226586	0.508838957156784	1	NoDE
ABCB10P4	5.65818538808355	2.73577949600042	0.00142587566587882	1	NoDE
ABCB4	-5.08366442828486	2.36434229267275	0.0121434286884218	1	NoDE
ABCB6	-1.82530250614715	5.87711914571875	1.76554497465582e-05	0.291085399971506	NoDE
ABCB7	0.960896191266433	4.53719350344094	0.0881931480896077	1	NoDE
ABCB8	2.95561836041284	4.54986106930148	3.59926135479651e-06	0.0593410219565301	NoDE
ABCB9	-0.247647264813575	2.63103139847674	1	1	NoDE
ABCC1	-2.25970374198335	2.67364992874169	0.0612732554394296	1	NoDE
ABCC10	-1.42005998372171	2.61033810946452	0.2711668880911	1	NoDE
ABCC2	-8.15431405354898	4.64229067534081	8.26428094633271e-13	1.36253199962187e-08	Down
ABCC3	-7.16239790716291	3.77484024075	1.11516387070659e-07	0.00183857067363395	Down
ABCC4	1.31221397628871	3.21332158784738	0.0869499652396232	1	NoDE
ABCC5	4.54503809976778	3.67598111659191	4.20443698354623e-05	0.693185525477266	NoDE
ABCC6	-8.5781028666801	5.03536832513448	5.69228540012801e-16	9.38487093919106e-12	Down
ABCC6P1	-8.26346551072767	4.75608977759549	1.80561366664115e-13	2.97691525219126e-09	Down
ABCC6P2	-7.03296864163143	3.66833494496995	3.69755819698027e-07	0.00609616419936137	Down
ABCD1	-2.27373327867713	3.01735829819806	0.00809150328316526	1	NoDE
ABCD2	0	1.36117483691085	1	1	NoDE
ABCD3	-1.99453584005211	3.18957820458802	0.0477643715649295	1	NoDE
ABCD4	-1.65205396705737	4.19279322772363	0.0100412924913756	1	NoDE
ABCE1	1.65674535412815	6.26543597019353	2.24561297235697e-05	0.370234210752494	NoDE
ABCF1	0.663421777732773	5.91242245129757	0.108784533030427	1	NoDE
ABCF2	2.62687455037681	6.93958214282324	3.08304988007335e-11	5.08302433727693e-07	UP
ABCF3	0.887257453623656	5.76974806349551	0.0352876885266231	1	NoDE
ABCG1	0	1.36117483691085	1	1	NoDE
ABCG2	-5.6224697656312	2.67346840533753	0.00236675382146147	1	NoDE
ABCG5	-2.3700731841295	1.53824417934498	0.999999999999999	1	NoDE
ABCG8	-5.66694874200178	2.69252384371913	0.00137358080555812	1	NoDE
ABHD10	-0.753651528214598	4.68489358774691	0.184932895250708	1	NoDE
ABHD11	0.863399701231981	4.24936314443946	0.209898313098864	1	NoDE
ABHD11-AS1	0	1.36117483691085	1	1	NoDE
ABHD12	-2.1618734049915	6.89185676594165	4.1137331635479e-08	0.000678231186674143	Down
ABHD13	-0.198850675984611	3.53864373250838	0.876378296383734	1	NoDE
ABHD14A	-2.31356320831271	4.82586159234584	2.93259044170401e-05	0.483496186123741	NoDE
ABHD14A-ACY1	-2.26359701068601	3.58464979145217	0.00556658612818811	1	NoDE
ABHD14B	-1.07479019907546	5.52909071368656	0.0144430634962096	1	NoDE
ABHD15	-4.43284664523733	2.06491383627269	0.0734148378005825	1	NoDE
ABHD16A	1.2113071892419	6.4557969348553	0.00157603500693929	1	NoDE
ABHD17A	-0.320338818374644	2.95882763954917	1	1	NoDE
ABHD17AP1	0	1.36117483691085	1	1	NoDE
ABHD17AP5	0	1.36117483691085	1	1	NoDE
ABHD17B	0.0201091815233242	3.37218066579285	1	1	NoDE
ABHD17C	-2.3700731841295	1.53824417934498	0.999999999999999	1	NoDE
ABHD18	0.553879913147785	2.8843873448316	0.653360814997893	1	NoDE
ABHD2	1.27723237018994	3.42060129551732	0.101023553436923	1	NoDE
ABHD3	-0.815967253204028	4.95354693163019	0.113540263862448	1	NoDE
ABHD4	-4.12394427347419	4.41972979481913	1.84917966662863e-07	0.00304874251637061	Down
ABHD5	1.81383141410984	4.72710109851374	0.00104280830950427	1	NoDE
ABHD6	-1.90900033973502	3.75837219466542	0.0118190595212006	1	NoDE
ABHD8	-1.46543989853734	4.49743175398544	0.00947408292636201	1	NoDE
