logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 PacBio_K562_1 PacBio_K562_2
-9.30757225114882 8.70130706622767 1.93663015946917e-79 AC125611.3 2.71186321230467e-75 802 733 1 1
-7.93902191180769 10.1909884092571 4.47827077985646e-69 MALAT1 6.270922573033e-65 2564 1793 9 7
-7.82645425522966 7.24540594317703 1.10039241637854e-61 HMGB1P6 1.54087950065487e-57 293 257 1 1
-7.01965467583629 7.90429152244066 1.06280542668045e-60 HIST1H2BK 1.48824643898064e-56 417 452 4 2
5.2640834653377 8.17288739622767 3.1708266034461e-59 P4HB 4.44010849280558e-55 13 14 596 376
-6.47413130275368 7.36692910577931 1.54511412978435e-57 AC011603.2 2.16362331593703e-53 329 268 5 1
8.57455298423345 7.01962357629405 1.74910463839901e-57 AC093512.2 2.44927122515013e-53 0 1 295 157
-11.6988558432 7.87897257422574 1.35742761531238e-56 AL512646.1 1.90080588972193e-52 528 342 0 0
6.71725281855489 6.92860237481058 3.29714935549254e-56 GET4 4.61699824249621e-52 2 2 264 154
6.38659630574596 8.00198823338607 7.29356040795842e-56 SLC25A39 1.02131726392642e-51 5 6 595 299
6.76759948580892 6.97838341127656 8.84184220372127e-56 WDR18 1.23812316378709e-51 2 2 277 157
5.32660441803033 7.65886435156025 1.04830109686412e-55 PYCR1 1.46793602593883e-51 7 11 406 271
5.55554914342125 8.86925050721347 4.72121689831682e-55 NUDC 6.61112002271304e-51 18 18 1064 551
5.00379931474007 7.49143473028897 2.04639259787458e-54 NOP53 2.86556355480377e-50 11 9 369 233
4.79818549613332 7.81993703429604 1.64458564434129e-53 DDIT4 2.3029132777711e-49 17 12 461 292
6.44489992537651 8.05455905958322 2.05317047958423e-53 TOMM40 2.87505462256179e-49 5 6 475 407
6.53178453450799 6.74682386640096 1.47477786095561e-52 WDR34 2.06513143869613e-48 2 2 234 134
4.58519400191951 7.75793145935707 1.82688359316664e-51 EIF4H 2.55818509551125e-47 17 15 426 287
4.70897619626777 7.52675817916967 1.96840666880091e-51 MTCH1 2.75635985832191e-47 12 13 367 243
11.3617248239637 7.52511927404535 2.50198465896877e-51 CYBA 3.50352911795397e-47 0 0 456 200
5.0434898066356 7.02727319961078 1.46526554758366e-50 GNAI3 2.0518113462814e-46 7 7 268 168
-4.95753417426743 9.57656003816066 4.58136917664934e-50 RPS26 6.41529125806207e-46 1405 1338 56 27
5.52439204025252 7.0215334969985 8.14079102638317e-50 BOP1 1.13995496742443e-45 5 5 283 159
5.81348046411811 7.30018615228651 8.51296267107641e-50 LMNA 1.19207016283083e-45 5 5 291 232
