annot_transcript_id logFC logCPM PValue annot_transcript_name adj_pval illumina_TPM_1 illumina_TPM_2 PacBio_K562_1 PacBio_K562_2
ENST00000639028.1 -15.9482654156169 12.2405829804002 3.62050007712407e-86 NA 1.3066022728333e-81 8657 9351 0 0
ENST00000331789.10 15.3230107765904 11.6118307496462 7.0474116600122e-84 ACTB-201 2.5433403939818e-79 0 0 7841 1826
ENST00000344746.8 15.2117411913647 11.4998774263109 4.47549329540766e-83 RPL10-201 1.61516077537967e-78 0 0 6522 2164
ENST00000396705.9 -14.8390376914951 11.1346711128875 1.92107908989769e-77 NA 6.93298232753179e-73 3939 4402 0 0
ENST00000311528.9 14.4448293599133 10.7326094436664 2.42588732881855e-77 RPL13-201 8.75478478097326e-73 0 0 4042 1136
ENST00000394935.7 -14.6272203454494 10.9238431639236 7.72154986118338e-76 NA 2.78663012940247e-71 3505 3706 0 0
ENST00000229270.8 14.1927306572682 10.4786256502004 2.21376869783058e-75 TPI1-201 7.98926985360076e-71 0 0 2929 1253
ENST00000295955.13 -14.3739455093352 10.6718642464516 7.01532389032234e-74 NA 2.53176023877843e-69 2791 3246 0 0
ENST00000610680.4 -11.1926748132888 10.8639677770027 3.22794427254273e-73 GAGE1-203 1.16493280851795e-68 3353 3560 1 1
ENST00000331523.6 -9.99372568669745 11.5492182505664 4.57637761654492e-73 EEF1A1-203 1.6515689180349e-68 5717 5442 5 3
ENST00000517671.5 -14.2583778202519 10.5570957169591 5.65221137602246e-73 NA 2.03982656349274e-68 2851 2745 0 0
ENST00000406022.6 -14.1774689873508 10.4766816298365 2.46510575340075e-72 NA 8.89632015344798e-68 2640 2646 0 0
ENST00000398606.8 10.462665797063 10.2744024553746 3.81365455390716e-72 GSTP1-202 1.37630979195956e-67 1 2 2759 945
ENST00000619601.1 -11.7563854560642 10.5529097004367 8.50239612556387e-72 GAPDH-211 3.06842973775474e-67 2953 2635 1 0
ENST00000650309.1 -13.9647410165369 10.2653264912443 1.25201727691938e-70 NA 4.51840515067435e-66 2066 2477 0 0
ENST00000344063.6 10.0549242722989 10.2486903409703 1.27401549901521e-70 RPL28-201 4.59779453439599e-66 2 2 2690 941
ENST00000553110.7 -13.8931635303867 10.1943093367297 4.76535070133403e-70 NA 1.71976741460444e-65 1988 2337 0 0
ENST00000645674.2 -13.8801586139668 10.1814434643109 6.06028495489848e-70 NA 2.18709623737331e-65 2026 2265 0 0
ENST00000370321.8 -13.8589155540706 10.1604304619074 9.05130644462744e-70 NA 3.2665259828016e-65 2086 2150 0 0
ENST00000396466.5 -13.810698225536 10.1125921598003 2.23693407162183e-69 NA 8.07287137107603e-65 1997 2098 0 0
ENST00000544868.2 -13.7920061005452 10.0943645150256 3.18599474112251e-69 NA 1.1497936421237e-64 2386 1692 0 0
ENST00000648006.1 -13.7446411845525 10.0470688579488 7.80181951770252e-69 NA 2.81559864574366e-64 1876 2033 0 0
ENST00000588301.5 -13.712804587529 10.0155317523428 1.42637388323397e-68 NA 5.14764070720309e-64 1862 1964 0 0
ENST00000489818.5 -13.6475591340893 9.95114678971417 4.96889719257209e-68 NA 1.79322530782734e-63 2084 1599 0 0
ENST00000649813.1 -13.6045322797847 9.90818684831359 1.12979889634726e-67 NA 4.07733123702761e-63 1665 1879 0 0
ENST00000417088.2 -10.5957257784438 10.2861124708082 1.15610234514812e-67 RPS28-201 4.17225775340505e-63 2283 2339 0 2
ENST00000512493.5 -13.573825998001 9.87788273283196 2.06814397550764e-67 NA 7.46372479320951e-63 1742 1737 0 0
ENST00000579649.5 -13.5430296779756 9.84731983645597 3.70067895507517e-67 NA 1.33553802809708e-62 1641 1759 0 0
