logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 K562_Rep1_K562_batch1 K562_Rep2_K562_batch1
15.8261504422379 11.86376022885 3.57391431253848e-124 ENSG00000189343.7 4.39055373295352e-120 0 0 10751 6244
-11.884470626576 13.9025630144175 7.04971071944998e-113 ENSG00000284931.1 8.6605696188443e-109 23524 26076 17 2
-15.0264714904072 11.0583381504482 1.23414601378919e-103 ENSG00000111775.2 1.51614837794002e-99 3067 3837 0 0
-14.1590534813886 10.1888745214878 3.27483040604037e-103 ENSG00000182774.12 4.02312915382059e-99 1787 2005 0 0
-14.4026870927725 10.4331911389951 8.87862985425089e-103 ENSG00000241343.9 1.09073967759472e-98 2066 2420 0 0
-13.5128214023141 9.54020800259203 4.71178736633059e-101 ENSG00000254772.9 5.78843077953713e-97 1185 1241 0 0
-13.1466343616837 9.17230947807023 7.1518695002964e-101 ENSG00000204435.13 8.78607168111412e-97 1002 886 0 0
-13.185935586127 9.21170431916286 1.30048286727764e-100 ENSG00000181061.13 1.59764320245058e-96 971 965 0 0
-12.8489270735816 8.87271579925677 5.15765277169849e-99 ENSG00000258232.2 6.33617643003159e-95 802 733 0 0
-13.7286824517327 9.75692797513868 1.31677932903383e-97 ENSG00000182117.5 1.61766340571806e-93 1313 1500 0 0
-13.1120160118572 9.13727800597224 3.32977624045516e-97 ENSG00000204370.10 4.09063011139916e-93 890 947 0 0
-10.3378719161474 14.7295540569766 5.15145233089483e-94 ENSG00000196565.14 6.3285591885043e-90 41488 46430 78 23
-12.1866485989596 8.20510672779378 1.45927709569981e-93 ENSG00000198563.13 1.79272191206721e-89 509 461 0 0
11.9288666271859 11.379086140856 5.87664892462652e-91 ENSG00000255508.7 7.21946320390368e-87 0 2 9142 3586
-12.0938340409015 8.11124848696128 1.05717153552901e-90 ENSG00000105583.10 1.29873523139739e-86 454 454 0 0
-7.65084098294507 9.79295927282425 6.64493728165425e-89 ENSG00000239672.7 8.16330545051225e-85 1397 1477 14 6
-7.0942121033795 9.24641599342308 1.38110795973898e-87 ENSG00000173436.14 1.69669112853934e-83 994 975 13 7
-12.0845060521851 8.10169356061929 5.01470287157583e-87 ENSG00000178127.12 6.16056247773091e-83 434 467 0 0
-12.0325160383546 8.04916261905688 1.01078039813489e-85 ENSG00000197903.7 1.24174371910871e-81 417 452 0 0
12.0186848668938 8.09133808102041 1.28771020204198e-85 ENSG00000284874.1 1.58195198320857e-81 0 0 777 440
-11.7547486049379 7.76858770692013 2.67882587368009e-85 ENSG00000205323.8 3.29093758581599e-81 362 356 0 0
-12.3521299728512 8.37165566699336 1.74173333048805e-84 ENSG00000125995.15 2.13971939650456e-80 499 584 0 0
-11.8190950496513 7.83354619461348 3.41355607802783e-84 ENSG00000204382.11 4.19355364185719e-80 367 383 0 0
9.77644595026279 10.7198164743804 4.68374417761569e-82 ENSG00000234797.5 5.75397972220087e-78 3 3 5775 2262
-11.5100535175798 7.52116296809838 3.00435267616407e-81 ENSG00000235655.3 3.69084726266756e-77 322 285 0 0
-11.5759640987881 7.58765852789533 3.36087270987454e-81 ENSG00000139180.10 4.12883212408088e-77 315 319 0 0
-11.3924944933043 7.40205080809915 1.49671364526772e-79 ENSG00000239900.12 1.8387127132114e-75 289 270 0 0
-7.11523427993344 7.77020263913871 1.76306756631795e-79 ENSG00000244687.11 2.16592850522161e-75 391 325 6 1
-6.43791024557869 9.43665739196555 2.34728989266824e-78 ENSG00000105640.12 2.88364563314293e-74 1078 1154 23 13
-11.3676569480158 7.37699364378827 2.48855433864091e-78 ENSG00000259781.1 3.05718900502036e-74 293 257 0 0
-11.4841604471355 7.49511133668452 6.06342814504869e-78 ENSG00000258017.1 7.44892147619231e-74 329 268 0 0
7.44915262157706 7.87281108881925 2.36585244506017e-76 ENSG00000284681.2 2.90644972875642e-72 2 2 647 384
13.212127400008 9.2672364336556 7.88397344276236e-74 ENSG00000216649.3 9.68546137443356e-70 0 0 2098 816
-11.5149443405499 7.52659549636665 5.88986820423121e-72 ENSG00000120948.17 7.23570308889805e-68 353 258 0 0
5.95586804098339 8.64372679937946 1.37827580318332e-71 ENSG00000240342.3 1.69321182421071e-67 8 12 1114 651
-11.7444854056245 7.75757658700196 2.89546381737439e-71 ENSG00000186010.18 3.55707729964444e-67 316 394 0 0
-6.50411291493309 10.393431073986 2.99095722451386e-71 ENSG00000251562.8 3.67439095031528e-67 2564 1793 39 27
-5.73951018880743 7.82727536357126 1.22411734297042e-70 ENSG00000163463.11 1.50382815583916e-66 364 369 12 7
-12.0212892683839 8.03894061654743 1.35049544194962e-70 ENSG00000203396.3 1.65908365043511e-66 528 342 0 0
-7.04131863160127 12.4328788910214 3.72634160439973e-70 ENSG00000236362.8 4.57781066100507e-66 8553 9243 146 53
-11.1883278991619 7.19488607362121 7.51824710160916e-70 ENSG00000170296.9 9.23616656432685e-66 231 253 0 0
11.1496910882368 7.24773654734464 9.18322530300344e-70 ENSG00000235288.3 1.12815922847397e-65 0 0 417 246
-11.1641186044292 7.17037397389144 1.22964783684071e-69 ENSG00000205155.7 1.51062236755881e-65 228 248 0 0
-11.1337283521713 7.13954196067958 1.76533122090944e-68 ENSG00000258289.8 2.16870940488725e-64 222 244 0 0
5.62502716774483 8.74511477023397 2.22496360098431e-68 ENSG00000185624.14 2.73336778380922e-64 13 14 1243 665
13.685261510571 9.73580021854505 1.18533023753904e-67 ENSG00000264772.6 1.45617819681671e-63 0 0 3059 1047
9.30016519928489 10.8143767574902 4.05647266424488e-67 ENSG00000178464.6 4.98337666802483e-63 4 5 6575 2171
-5.44846957974193 8.20290312359876 3.72082342805607e-66 ENSG00000169442.8 4.57103158136688e-62 448 495 18 12
-10.7772945693288 6.7786579435759 8.33997975160689e-65 ENSG00000198901.13 1.02456651248491e-60 191 174 0 0
-10.9945978829917 6.99843329635479 2.74428664186054e-64 ENSG00000229833.9 3.37135613952568e-60 199 224 0 0
11.0616755025483 7.16424264404173 2.91098867599226e-64 ENSG00000284431.1 3.57614958845649e-60 0 0 418 215
-10.8227186283816 6.8244740025234 3.11976696271036e-64 ENSG00000213246.6 3.83263371368968e-60 185 191 0 0
-11.0323406606908 7.03657454027254 1.83601503601232e-63 ENSG00000278615.4 2.25554447174114e-59 201 233 0 0
13.9769835664739 10.0253588592307 2.80699506202575e-63 ENSG00000260836.2 3.44839343369863e-59 0 0 3894 1194
6.19081893948954 8.03328605094377 5.07773064590847e-63 ENSG00000130204.12 6.23799209849855e-59 5 6 642 476
7.59909100378946 8.01415486113856 1.78862979254513e-61 ENSG00000280614.1 2.19733170014169e-57 2 2 598 499
-10.6732396335107 6.67297285321479 5.11228535472227e-61 ENSG00000148444.15 6.28044255827631e-57 167 172 0 0
5.01653067023444 8.5662535107524 2.60497528703209e-60 ENSG00000090273.13 3.20021214011892e-56 18 18 1103 569
14.0677027532883 10.1156138068287 8.77110869595989e-60 ENSG00000213442.5 1.07753070329867e-55 0 0 4236 1219
-10.5469082015332 6.54515017214008 1.21640895028538e-59 ENSG00000161960.14 1.49435839542559e-55 161 150 0 0
6.15526240642402 8.00444351291165 6.6882349847863e-58 ENSG00000013306.15 8.21649667880996e-54 5 6 807 354
-5.84543271828259 9.60263867730055 6.72420612256721e-58 ENSG00000237550.5 8.26068722157381e-54 1151 1335 48 15
-5.55195108021371 10.3777081442024 7.04567545626853e-58 ENSG00000185201.16 8.65561229802589e-54 2115 2125 97 35
11.1426242514378 7.24564725979509 3.0766661422534e-57 ENSG00000051523.10 3.77968435575831e-53 0 0 477 206
-10.4426253141044 6.43939272522415 2.81305945186672e-56 ENSG00000132286.11 3.45584353661827e-52 144 145 0 0
10.7124986630767 6.82993204176096 1.0084258746101e-55 ENSG00000285783.1 1.23885118695851e-51 0 0 332 166
4.9685495445655 7.55212360279839 1.2042743162422e-55 ENSG00000183010.16 1.47945099750354e-51 7 11 496 302
-4.60263973215377 8.32494089757012 2.06579951165214e-55 ENSG00000222041.11 2.53783470006466e-51 491 516 31 26
-10.3550623115625 6.35076402343455 2.39022216948249e-54 ENSG00000263585.1 2.93638793520923e-50 136 136 0 0
-10.3314747343397 6.32708968679732 2.91439995730279e-54 ENSG00000188739.14 3.58034034754648e-50 142 126 0 0
