logFC logCPM PValue gene_name adj_pval illumina_TPM_1 illumina_TPM_2 GM12878_ONT_Rep1_GM12878_batch1 GM12878_ONT_Rep2_GM12878_batch1
-16.1925931565737 13.2745826564217 1.39045870428479e-88 ENSG00000211660.3 1.71707745392128e-84 15070 11811 0 0
-14.1404862632333 11.2340071189837 1.4481999156076e-64 ENSG00000241343.9 1.78838207578382e-60 2654 3758 0 0
13.613540099562 10.6763299277223 4.53573055568549e-64 ENSG00000189343.7 5.60117366321601e-60 0 0 791 997
-14.0876194874962 11.1816717050877 6.19059431424685e-64 ENSG00000182774.12 7.64476491866344e-60 2343 3823 0 0
-13.7534531395046 10.8516405972989 5.40189266322031e-60 ENSG00000211637.2 6.67079724981076e-56 2845 2116 0 0
13.1883072197148 10.2459495060633 6.00797497545611e-59 ENSG00000260836.2 7.41924829719075e-55 0 0 593 738
8.93861427178601 10.3618411305749 9.61947260190039e-59 ENSG00000234797.5 1.18790867160868e-54 4 3 632 807
12.9988160693113 10.0537489766166 1.06601485581831e-56 ENSG00000255508.7 1.31642174545003e-52 0 0 505 664
-13.4604376384815 10.5627780292421 1.54336387633321e-56 ENSG00000111775.2 1.90590005088388e-52 1784 2227 0 0
-13.3032145067777 10.4082444096268 1.11186875120637e-54 ENSG00000251562.8 1.37304672086474e-50 1786 1824 0 0
12.6589727445112 9.70786142235771 1.00633185252126e-52 ENSG00000213442.5 1.2427192046785e-48 0 0 412 510
7.14020485825303 10.8478254592747 1.49076010193223e-51 ENSG00000211899.10 1.84093964987611e-47 14 21 924 1068
-6.87107572698127 11.7404570327451 9.74858152302127e-51 ENSG00000145425.9 1.2038523322779e-46 4341 4762 12 19
12.3892924639736 9.43237055158503 1.25156534548804e-49 ENSG00000198938.2 1.54555804514318e-45 0 0 348 416
12.3829160537018 9.42609545143375 1.46473854588755e-49 ENSG00000244398.1 1.80880563031654e-45 0 0 327 436
-12.8553414547079 9.96982681812098 1.7685674329432e-49 ENSG00000108654.14 2.18400392294156e-45 1984 710 0 0
-12.7300648941071 9.84720551393475 4.75450727708858e-48 ENSG00000165502.6 5.87134103647668e-44 1238 1191 0 0
-12.6518551204286 9.77093081250714 3.66977536270775e-47 ENSG00000239672.7 4.5318055954078e-43 1090 1205 0 0
8.39671172724842 9.04124191332645 2.60457728487286e-45 ENSG00000233913.7 3.21639248908949e-41 2 2 238 350
-12.4361427597205 9.56124855514948 9.46176167704214e-45 ENSG00000254772.9 1.16843294949793e-40 978 1001 0 0
-12.3977577136464 9.52330306809471 2.47076241274679e-44 ENSG00000258017.1 3.05114450350101e-40 267 1612 0 0
11.7974636002224 8.82383576955557 6.0654758854601e-43 ENSG00000264772.6 7.49025617095468e-39 0 0 238 268
-12.2526323487656 9.38333731620189 9.94527847800003e-43 ENSG00000211895.5 1.22814243924822e-38 767 969 0 0
7.75397323468477 8.94279058544577 1.08545158727794e-42 ENSG00000232472.1 1.34042416512953e-38 3 3 243 304
-12.0984323017569 9.23405356092873 4.81410606773908e-41 ENSG00000203396.3 5.94493958305099e-37 460 1084 0 0
-5.83712183127365 11.2001680045435 1.09702976408932e-40 ENSG00000169442.8 1.3547220556739e-36 3634 2599 20 23
8.76709650161079 8.50572608526332 1.5631792307993e-39 ENSG00000263266.2 1.93037003211405e-35 1 1 193 215
11.4265102091474 8.43984179748619 7.75260645514247e-39 ENSG00000227081.5 9.57369371145544e-35 0 0 169 224
-11.8754875068691 9.02005600687422 1.21399792790859e-38 ENSG00000114902.13 1.49916604117432e-34 668 674 0 0
11.4007313041437 8.41177658013482 1.48464426849403e-38 ENSG00000219928.2 1.83338720716327e-34 0 0 192 191
6.77862107845986 8.6696233960102 2.13047550594191e-37 ENSG00000178464.6 2.63092420228767e-33 5 5 212 240
-11.7107190761521 8.86202678513774 7.36136291047488e-37 ENSG00000173436.14 9.09054705814543e-33 522 670 0 0
11.2264163040162 8.23011852234956 1.10176761380025e-36 ENSG00000257341.5 1.36057282628193e-32 0 0 165 175
-11.4243621421505 8.58991306508733 1.04653761680012e-34 ENSG00000167552.13 1.29236930298647e-30 640 352 0 0
-11.3917382869772 8.55880989719005 2.29725472359781e-34 ENSG00000204370.10 2.83687985817093e-30 585 382 0 0
10.9742574446599 7.96677121410312 4.84742410473888e-34 ENSG00000111780.8 5.98608402694205e-30 0 0 125 162
5.46931076013747 9.51517151408347 5.96503342702955e-34 ENSG00000240342.3 7.36621977903879e-30 13 31 362 427
10.9057253969103 7.89334495791016 2.49223024302796e-33 ENSG00000227097.5 3.07765512711523e-29 0 0 134 138
-11.2409519498406 8.41583275551918 8.0265771631883e-33 ENSG00000105583.10 9.91202013882124e-29 469 398 0 0
-11.2020748956336 8.37920032724359 2.04506577825945e-32 ENSG00000205323.8 2.52545172957259e-28 472 373 0 0
-5.47962490858145 9.77699286001573 3.0760825909369e-32 ENSG00000211679.2 3.79865439154797e-28 1203 1063 10 10
-11.1585351838367 8.33778143669865 5.69707451692919e-32 ENSG00000258289.8 7.03531732095585e-28 387 428 0 0
-11.1521128199278 8.33147640037775 6.50210860880742e-32 ENSG00000258232.2 8.02945392101628e-28 336 472 0 0
-11.1503300594375 8.33061530180972 6.51442121714782e-32 ENSG00000282600.2 8.04465876105585e-28 496 322 0 0
-11.0923987817172 8.27561702169661 2.60505774913963e-31 ENSG00000259781.1 3.21698581441253e-27 392 388 0 0
-11.0875702218953 8.27144579966194 2.79515827368548e-31 ENSG00000139180.10 3.4517409521742e-27 458 324 0 0
-11.0872271004274 8.27105747885607 2.7975104189481e-31 ENSG00000181061.13 3.45464561635901e-27 446 335 0 0
-11.0771196458203 8.26191594054449 3.65146523106538e-31 ENSG00000169508.6 4.50919441384264e-27 508 272 0 0
-4.75818186138094 10.8041511995952 1.10036922680315e-30 ENSG00000185201.16 1.35884595817921e-26 2558 2067 27 41
-11.009947105135 8.19798674181197 1.6765224035729e-30 ENSG00000178127.12 2.07033751617217e-26 346 389 0 0
-10.9758551460669 8.16666579408173 3.65828410916624e-30 ENSG00000211947.2 4.51761504640939e-26 443 282 0 0
-4.38602020439619 12.8641781600777 4.8297089107998e-30 ENSG00000177954.12 5.96420753394667e-26 9781 9437 158 209
10.4831163961727 7.44734873508533 3.90740051199883e-29 ENSG00000258674.5 4.82524889226735e-25 0 0 90 114
6.86607914827347 7.44193539895156 3.92915030140843e-29 ENSG00000229344.1 4.85210770720927e-25 3 1 127 71
-10.8215325057888 8.02116223522163 1.15123696994951e-28 ENSG00000186010.18 1.42166253419065e-24 245 396 0 0
-10.8092432038738 8.01031193423055 1.56822060504594e-28 ENSG00000204435.13 1.93659562517123e-24 323 318 0 0
-4.17606053121717 13.5685344125798 1.78804335781495e-28 ENSG00000166710.18 2.20805474256568e-24 17281 13952 320 365
4.79143002196057 9.19566516455679 3.34964740021886e-28 ENSG00000102879.15 4.13647957453027e-24 18 38 283 344
-10.7561288895438 7.9608163790143 4.81956410051312e-28 ENSG00000170296.9 5.95167970772365e-24 314 304 0 0
-10.7527642539807 7.95712281839152 5.22923209901665e-28 ENSG00000159140.19 6.45757871907566e-24 246 366 0 0
7.62588698091781 7.30850155379481 5.84531203151247e-28 ENSG00000075618.17 7.21837582771475e-24 0 2 109 74
7.55144703623154 7.23334717269752 2.58253309333919e-27 ENSG00000257529.5 3.18917011696456e-23 0 2 83 93
-10.6609499911632 7.87235088995719 3.84665855620038e-27 ENSG00000100028.11 4.75023865105184e-23 301 278 0 0
5.93202977405205 7.47450632725807 1.28847349194031e-26 ENSG00000141522.11 1.59113591519709e-22 3 5 87 117
6.180179226956 7.31542333077246 1.76298650329767e-26 ENSG00000238103.4 2.17711203292229e-22 2 4 72 113
7.4528736364926 7.12797834242575 2.14669359835922e-26 ENSG00000051523.10 2.6509519246138e-22 0 2 81 83
-10.566697349978 7.78550371852964 2.87353636377649e-26 ENSG00000137804.12 3.54853005562759e-22 336 210 0 0
-10.544445425438 7.76528561039485 4.90777971776176e-26 ENSG00000244687.11 6.060617173464e-22 366 174 0 0
-10.5271022466632 7.74867824360514 7.08001631756713e-26 ENSG00000170627.10 8.74311215056365e-22 309 221 0 0
-3.85241699939258 15.4710239440137 9.39347847841398e-26 ENSG00000211677.2 1.16000065729934e-21 63237 52134 1507 1658
-10.5065190510139 7.72874198962066 1.03082239380526e-25 ENSG00000229833.9 1.27296257411011e-21 223 294 0 0
