transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENCODEHT000192787,NIC,False,False
ENST00000623083.4,Known,False,True
ENST00000457084.1,Known,True,True
ENST00000441765.5,Known,True,True
ENST00000327044.6,Known,True,True
ENCODEHT000254592,NIC,False,False
ENCODEHT000192804,NIC,True,True
ENCODEHT000192807,NIC,True,True
ENCODEHT000254597,NIC,True,True
ENCODEHT000254602,ISM,True,True
ENCODEHT000254603,NIC,False,False
ENCODEHT000325097,NIC,False,False
ENCODEHT000325100,NIC,False,False
ENCODEHT000325104,NIC,False,False
ENCODEHT000325109,NIC,False,False
ENST00000469563.1,Known,True,True
ENST00000379389.4,Known,True,True
ENST00000433695.1,Known,True,True
ENST00000451054.1,Known,True,True
ENST00000421241.6,Known,False,True
ENST00000379268.6,Known,False,True
ENST00000379236.3,Known,False,True
ENST00000360001.10,Known,True,True
ENST00000263741.11,Known,False,True
ENCODEHT000192856,NIC,True,True
ENST00000494748.1,Known,True,True
ENST00000347370.6,Known,False,True
ENST00000349431.10,Known,False,True
ENST00000400929.6,Known,False,True
ENST00000464036.5,Known,False,True
ENST00000360466.6,Known,False,True
ENST00000467339.1,Known,True,True
ENST00000379031.9,Known,False,True
ENCODEHT000192880,NIC,False,True
ENCODEHT000254656,NNC,False,False
ENCODEHT000325122,NNC,False,False
ENST00000435064.5,Known,True,True
ENCODEHT000192882,ISM,True,True
ENCODEHT000192894,ISM,True,True
ENCODEHT000325130,NIC,False,False
ENST00000493534.6,Known,False,True
ENST00000464957.1,Known,False,True
ENST00000343938.8,Known,False,True
ENST00000338370.7,Known,True,True
ENST00000338338.9,Known,True,True
ENST00000321751.9,Known,False,True
ENST00000378853.3,Known,True,True
ENCODEHT000192916,NIC,True,True
ENCODEHT000325134,NIC,False,True
ENST00000463260.5,Known,True,True
ENST00000400809.7,Known,True,True
ENST00000418865.6,Known,True,True
ENST00000448629.5,antisense,False,True
ENST00000448629.5,Known,False,True
ENST00000444362.2,antisense,True,True
ENST00000444362.2,Known,True,True
ENST00000344843.11,Known,True,True
ENCODEHT000192942,ISM,True,True
ENST00000442470.1,Known,True,True
