transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENCODEHT000397964,NIC,False,False
ENCODEHT000192787,NIC,False,False
ENST00000623083.4,Known,False,True
ENCODEHT000192792,NIC,False,False
ENCODEHT000397979,NNC,True,False
ENCODEHT000397980,NIC,True,False
ENCODEHT000397984,ISM,True,False
ENCODEHT000397985,ISM,True,False
ENST00000441765.5,Known,True,True
ENST00000327044.6,Known,True,True
ENCODEHT000254592,NIC,False,False
ENCODEHT000397998,ISM,True,True
ENCODEHT000192804,NIC,True,True
ENCODEHT000192807,NIC,True,True
ENCODEHT000192808,NNC,False,False
ENCODEHT000254596,ISM,True,True
ENCODEHT000254597,NIC,True,True
ENCODEHT000254603,NIC,False,False
ENCODEHT000254606,NIC,False,False
ENCODEHT000325100,NIC,False,False
ENCODEHT000325104,NIC,False,False
ENCODEHT000358158,NNC,False,False
ENCODEHT000358167,NIC,False,False
ENCODEHT000358174,ISM,True,True
ENCODEHT000398003,NIC,True,False
ENCODEHT000398007,NIC,False,False
ENCODEHT000398039,ISM,True,True
ENST00000469563.1,Known,True,True
ENST00000379407.7,Known,False,True
ENST00000428771.6,Known,False,True
ENST00000304952.10,Known,False,True
ENST00000481869.1,Known,False,True
ENST00000484667.2,Known,False,True
ENST00000624652.1,Known,False,True
ENST00000379389.4,Known,True,True
ENCODEHT000192828,ISM,False,True
ENST00000379325.7,Known,False,True
ENST00000421241.6,Known,False,True
ENST00000482816.5,Known,False,True
ENST00000360001.10,Known,False,True
ENCODEHT000192848,ISM,False,True
ENST00000263741.11,Known,False,True
ENCODEHT000192856,NIC,False,True
ENST00000494748.1,Known,False,True
ENST00000478938.1,Known,False,True
ENCODEHT000192858,NIC,False,False
ENCODEHT000192861,NIC,True,True
ENCODEHT000254637,ISM,True,True
ENST00000450390.6,Known,False,True
ENST00000347370.6,Known,False,True
ENST00000349431.10,Known,False,True
ENST00000400929.6,Known,False,True
ENCODEHT000192871,NIC,False,False
ENST00000464036.5,Known,False,True
ENST00000360466.6,Known,False,True
ENST00000467339.1,Known,True,True
ENST00000379031.9,Known,False,True
ENCODEHT000192879,NIC,False,True
ENCODEHT000398066,NIC,False,True
ENCODEHT000192880,NIC,False,True
ENCODEHT000254659,NIC,False,True
ENCODEHT000358200,NNC,False,False
ENCODEHT000398071,NIC,False,True
ENCODEHT000398074,ISM,True,True
ENCODEHT000398076,ISM,True,True
ENST00000435064.5,Known,True,True
ENST00000497304.6,Known,True,True
ENCODEHT000192882,ISM,True,True
ENCODEHT000254664,NIC,True,True
ENCODEHT000192892,NIC,False,False
ENCODEHT000192894,ISM,True,True
ENST00000429572.5,Known,True,True
ENST00000493534.6,Known,False,True
ENST00000490853.5,Known,False,True
ENST00000464957.1,Known,False,True
ENST00000343938.8,Known,False,True
ENST00000488011.1,Known,False,True
ENST00000378891.9,Known,False,True
ENST00000309212.10,Known,False,True
ENST00000338370.7,Known,True,True
ENST00000338338.9,Known,True,True
ENST00000321751.9,Known,False,True
ENST00000378853.3,Known,False,True
ENCODEHT000192916,NIC,True,True
ENCODEHT000254686,NIC,True,True
ENCODEHT000325135,NIC,True,True
ENST00000400809.7,Known,True,True
ENST00000418865.6,Known,True,True
ENCODEHT000398098,ISM,True,True
ENST00000408918.8,Known,True,True
ENST00000448629.5,antisense,True,True
ENST00000448629.5,Known,True,True
ENST00000444362.2,antisense,True,True
ENST00000444362.2,Known,True,True
ENST00000418833.2,Known,True,True
ENST00000344843.11,Known,True,True
ENCODEHT000192937,NIC,True,True
ENCODEHT000192941,NIC,True,True
ENCODEHT000192942,ISM,True,True
ENST00000482352.1,Known,True,True
ENST00000476993.1,Known,False,True
ENST00000308647.7,Known,False,True
ENST00000378756.7,Known,False,True
ENCODEHT000192967,ISM,False,True
ENCODEHT000254728,NNC,False,False
ENCODEHT000254731,NNC,False,False
ENCODEHT000358240,NIC,False,True
ENST00000339113.8,Known,False,True
ENCODEHT000192968,NIC,False,True
ENCODEHT000192969,NIC,False,True
ENCODEHT000192971,ISM,False,True
ENCODEHT000254733,ISM,True,True
ENST00000291386.3,Known,True,True
ENST00000378726.1,Known,True,True
ENCODEHT000192978,ISM,True,True
ENST00000359060.5,Known,True,True
ENST00000507082.1,Known,False,True
ENCODEHT000193003,ISM,True,True
ENCODEHT000358248,ISM,True,True
ENCODEHT000193006,ISM,True,True
ENCODEHT000254751,ISM,True,True
ENST00000617444.4,Known,False,True
ENST00000611123.1,Known,False,True
ENCODEHT000398157,ISM,True,True
ENCODEHT000325161,ISM,True,True
ENCODEHT000193012,NIC,True,True
ENST00000647043.1,Known,True,True
ENCODEHT000398169,NIC,True,False
ENST00000341426.9,Known,False,True
ENCODEHT000193023,NIC,False,True
ENCODEHT000254772,NIC,False,False
ENCODEHT000254779,ISM,False,True
ENST00000610897.4,Known,True,True
ENST00000378609.8,Known,True,True
ENCODEHT000254781,ISM,True,True
ENCODEHT000398177,NIC,False,False
ENCODEHT000193033,ISM,True,True
ENCODEHT000254786,ISM,True,True
ENCODEHT000254789,ISM,True,True
ENCODEHT000398183,NIC,False,False
ENST00000378602.3,Known,True,True
ENCODEHT000193036,NIC,True,False
ENCODEHT000254798,NIC,False,True
ENST00000470931.2,Known,False,True
ENST00000602604.1,Known,False,True
ENST00000378567.7,Known,False,True
ENCODEHT000254824,NIC,False,True
ENST00000400918.7,Known,False,True
ENST00000378546.8,Known,False,True
ENCODEHT000398192,NIC,True,True
ENST00000476803.1,Known,True,True
ENST00000420515.1,Known,False,True
ENCODEHT000398201,ISM,False,True
ENST00000378513.7,Known,True,True
ENCODEHT000254838,NIC,True,False
ENST00000605895.5,Known,True,True
ENCODEHT000193069,NIC,False,False
ENCODEHT000193070,NIC,False,False
ENST00000306256.13,Known,False,True
ENCODEHT000254840,NNC,False,False
ENCODEHT000398208,NIC,False,False
ENST00000378512.5,Known,True,True
ENCODEHT000398213,NIC,True,False
ENST00000488353.2,Known,True,True
ENST00000447513.6,Known,False,True
ENST00000378466.7,Known,True,True
ENCODEHT000254865,NIC,True,True
ENST00000419916.7,Known,False,True
ENST00000378424.9,Known,False,True
ENST00000378427.6,Known,False,True
ENST00000378378.8,Known,False,True
ENST00000378322.7,Known,True,True
ENST00000270708.11,Known,True,True
ENCODEHT000193128,NIC,True,True
ENCODEHT000193131,NIC,True,True
ENST00000424367.5,Known,True,True
ENST00000479331.1,Known,True,True
ENST00000648432.1,Known,False,True
ENST00000423764.6,Known,True,True
ENST00000650039.1,Known,True,True
ENST00000642557.1,Known,True,True
ENCODEHT000398232,NIC,True,False
ENST00000561886.2,Known,True,True
ENST00000444870.7,Known,True,True
ENST00000452264.1,Known,True,True
ENCODEHT000193137,NIC,True,True
ENST00000378251.2,Known,False,True
ENCODEHT000193141,ISM,True,True
ENST00000462356.5,Known,True,True
ENCODEHT000254924,ISM,False,True
ENCODEHT000398239,ISM,False,True
ENCODEHT000358313,ISM,True,True
ENCODEHT000193150,NIC,True,True
ENST00000338895.7,Known,False,True
ENST00000378209.7,Known,False,True
ENST00000491998.5,Known,False,True
