transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENST00000623083.4,Known,False,True
ENST00000327044.6,Known,True,True
ENCODEHT000192804,NIC,True,True
ENCODEHT000254596,ISM,True,True
ENCODEHT000325095,NNC,False,False
ENCODEHT000325101,ISM,True,True
ENCODEHT000358165,ISM,True,True
ENCODEHT000481310,ISM,True,True
ENST00000379389.4,Known,True,True
ENST00000379268.6,Known,False,True
ENST00000379265.5,Known,False,True
ENST00000379236.3,Known,False,True
ENST00000360001.10,Known,True,True
ENCODEHT000192853,NNC,False,False
ENST00000263741.11,Known,False,True
ENCODEHT000192856,NIC,True,True
ENST00000494748.1,Known,True,True
ENST00000478938.1,Known,True,True
ENST00000349431.10,Known,False,True
ENCODEHT000325121,ISM,True,True
ENCODEHT000492684,NNC,False,False
ENST00000467339.1,Known,True,True
ENST00000379031.9,Known,False,True
ENST00000435064.5,Known,True,True
ENST00000497304.6,Known,True,True
ENCODEHT000192886,NIC,True,True
ENCODEHT000192892,NIC,False,False
ENCODEHT000192894,ISM,True,True
ENCODEHT000192895,NIC,False,False
ENST00000343938.8,Known,False,True
ENST00000338370.7,Known,True,True
ENST00000338338.9,Known,True,True
ENST00000321751.9,Known,False,True
ENCODEHT000449541,NIC,True,True
ENST00000378853.3,Known,True,True
ENCODEHT000192916,NIC,True,True
ENCODEHT000254686,NIC,True,True
ENST00000400809.7,Known,True,True
ENST00000418865.6,Known,True,True
ENST00000448629.5,antisense,False,True
ENST00000448629.5,Known,False,True
ENST00000344843.11,Known,True,True
ENCODEHT000254704,NIC,True,True
ENST00000427211.3,Known,False,True
ENST00000338660.5,Known,False,True
ENST00000308647.7,Known,False,True
ENST00000472194.6,Known,False,True
ENCODEHT000254722,NIC,False,True
ENST00000378756.7,Known,False,True
ENCODEHT000492697,NNC,False,False
ENCODEHT000254733,ISM,True,True
ENST00000291386.3,Known,True,True
ENST00000378726.1,Known,True,True
ENCODEHT000192978,ISM,True,True
ENCODEHT000192980,NNC,False,False
ENST00000359060.5,Known,True,True
ENST00000511910.1,Known,False,True
ENCODEHT000492705,NNC,False,False
ENCODEHT000254746,ISM,False,True
ENCODEHT000358248,ISM,False,True
ENCODEHT000398145,ISM,False,True
ENCODEHT000398147,ISM,False,True
ENST00000617444.4,Known,False,True
ENST00000611123.1,Known,False,True
ENCODEHT000492712,NIC,False,True
ENST00000341426.9,Known,False,True
ENST00000610897.4,Known,True,True
ENST00000378609.8,Known,True,True
ENCODEHT000193027,ISM,True,True
ENCODEHT000254781,ISM,True,True
ENCODEHT000193030,ISM,True,True
ENCODEHT000398178,NNC,False,False
ENCODEHT000481342,ISM,True,False
ENST00000400918.7,Known,True,True
ENST00000378543.2,Known,False,True
ENST00000378546.8,Known,True,True
ENCODEHT000193058,NIC,False,True
ENCODEHT000398192,NIC,True,True
ENST00000476803.1,Known,True,True
ENST00000378513.7,Known,True,True
ENCODEHT000254838,NIC,True,False
ENST00000605895.5,Known,True,True
ENCODEHT000193069,NIC,False,False
ENST00000378512.5,Known,True,True
ENCODEHT000254846,NNC,False,False
ENST00000488353.2,Known,True,True
ENCODEHT000254848,ISM,True,True
ENST00000462129.1,Known,True,True
ENST00000447513.6,Known,False,True
ENST00000378466.7,Known,False,True
ENST00000355716.4,Known,True,True
ENCODEHT000358284,NNC,False,False
ENST00000378344.6,Known,False,True
ENST00000378322.7,Known,True,True
ENST00000270708.11,Known,True,True
ENCODEHT000193130,ISM,True,True
ENST00000378295.8,Known,False,True
ENST00000354437.8,Known,False,True
ENCODEHT000481357,ISM,False,True
ENST00000378251.2,Known,False,True
ENCODEHT000193141,ISM,True,True
ENST00000378230.7,Known,True,True
ENST00000361605.3,Known,True,True
ENCODEHT000449667,ISM,True,True
ENST00000352527.5,Known,True,True
ENST00000341524.5,Known,True,True
ENST00000481789.1,Known,True,True
ENCODEHT000492763,NNC,False,False
ENST00000234875.8,Known,True,True
ENCODEHT000193171,NNC,False,False
ENST00000480661.1,Known,True,True
ENCODEHT000193172,NNC,False,False
ENCODEHT000193175,ISM,True,True
ENCODEHT000398281,ISM,True,False
ENCODEHT000481371,NIC,False,False
ENCODEHT000481374,NNC,False,False
ENCODEHT000492766,NIC,False,False
ENCODEHT000492768,NNC,False,False
ENCODEHT000492771,ISM,False,False
ENST00000343813.9,Known,True,True
ENST00000489498.5,Known,True,True
ENST00000608083.5,Known,True,True
ENST00000377842.7,Known,True,True
ENCODEHT000193190,ISM,True,True
ENCODEHT000193192,ISM,True,True
ENCODEHT000193195,ISM,True,True
ENCODEHT000492775,NIC,False,False
ENST00000340850.9,Known,False,True
ENST00000377705.5,Known,True,True
ENCODEHT000193220,NIC,True,True
ENST00000377674.8,Known,False,True
ENST00000377658.8,Known,False,True
ENST00000377648.4,Known,False,True
ENST00000307896.10,Known,True,True
ENCODEHT000193233,ISM,True,True
ENST00000472925.1,Known,True,True
ENCODEHT000325244,ISM,True,True
ENST00000377577.9,Known,True,True
ENST00000294401.11,Known,True,True
ENCODEHT000358357,ISM,True,True
ENST00000465911.1,Known,True,True
ENST00000490738.5,Known,True,True
ENST00000476163.5,Known,True,True
ENST00000473578.5,Known,True,True
ENST00000461311.1,Known,True,True
ENCODEHT000193251,ISM,True,True
ENCODEHT000325254,NIC,True,True
ENCODEHT000492778,ISM,True,True
ENST00000054666.10,Known,True,True
ENST00000470357.1,Known,True,True
ENST00000338639.9,Known,True,True
ENCODEHT000193258,NNC,False,False
ENST00000493678.5,Known,True,True
ENCODEHT000193263,NIC,False,False
ENCODEHT000481384,NIC,False,False
ENCODEHT000193264,NIC,True,True
ENCODEHT000193267,NIC,False,False
ENCODEHT000481387,NIC,False,False
ENCODEHT000481388,NNC,False,False
ENCODEHT000193268,NIC,True,True
ENCODEHT000358374,NIC,False,False
ENCODEHT000358375,ISM,True,True
ENCODEHT000193269,ISM,True,True
ENCODEHT000193270,ISM,True,True
ENCODEHT000193282,ISM,True,True
ENST00000234590.10,Known,True,True
ENCODEHT000193289,ISM,True,True
ENST00000464920.2,Known,True,True
ENCODEHT000193291,NNC,False,False
ENCODEHT000193293,NIC,True,False
ENCODEHT000193294,ISM,True,True
ENCODEHT000193295,ISM,True,True
ENCODEHT000193296,ISM,True,True
ENCODEHT000193297,ISM,True,True
ENCODEHT000193298,ISM,True,True
ENCODEHT000255042,NNC,False,False
ENCODEHT000325264,NIC,False,False
ENCODEHT000492786,ISM,False,False
ENCODEHT000193299,NNC,False,False
ENCODEHT000193300,ISM,True,True
ENCODEHT000193301,NIC,True,True
ENCODEHT000193303,NNC,True,False
ENCODEHT000193306,NNC,False,False
ENCODEHT000193309,ISM,False,False
ENCODEHT000193315,NNC,False,False
ENCODEHT000193316,NNC,False,False
ENCODEHT000193317,NIC,True,False
ENCODEHT000193318,NNC,False,False
ENCODEHT000193321,ISM,True,True
ENCODEHT000193329,NIC,True,False
ENCODEHT000193330,ISM,False,False
ENCODEHT000255047,NIC,False,False
ENCODEHT000255052,NIC,False,False
ENCODEHT000255076,ISM,False,False
ENCODEHT000358394,ISM,False,False
ENCODEHT000358395,ISM,False,False
ENCODEHT000398346,ISM,False,False
ENCODEHT000481391,ISM,False,False
ENCODEHT000481395,ISM,False,False
ENCODEHT000481399,ISM,False,False
ENCODEHT000481400,ISM,True,False
ENCODEHT000492787,ISM,False,False
ENCODEHT000492789,ISM,False,False
ENCODEHT000492795,ISM,True,False
ENST00000645609.1,Known,True,True
ENCODEHT000325304,NIC,True,True
ENCODEHT000325305,ISM,True,True
ENCODEHT000255087,ISM,True,True
ENCODEHT000193334,NIC,True,True
ENCODEHT000492806,ISM,True,True
ENST00000377424.8,Known,True,True
ENCODEHT000492807,ISM,True,True
ENST00000302692.6,Known,True,True
ENST00000340305.9,Known,False,True
ENCODEHT000492816,ISM,False,True
ENCODEHT000193363,ISM,True,True
ENST00000435891.5,Known,False,True
ENCODEHT000193369,NIC,False,True
ENST00000400904.7,Known,False,True
ENST00000400903.6,Known,True,True
ENST00000377213.1,Known,True,True
ENST00000445884.1,Known,True,True
ENCODEHT000492822,ISM,False,False
ENCODEHT000193415,NNC,False,False
ENCODEHT000193418,NNC,False,False
ENCODEHT000255151,NIC,False,False
ENCODEHT000481426,NIC,False,False
ENST00000270776.12,Known,True,True
ENCODEHT000193421,NIC,True,True
ENCODEHT000492828,NIC,False,False
ENCODEHT000193425,ISM,True,True
ENCODEHT000481428,ISM,False,False
ENCODEHT000193426,ISM,True,True
ENCODEHT000193427,NIC,True,True
ENCODEHT000193429,ISM,True,True
ENCODEHT000193430,NIC,True,True
ENCODEHT000255162,NIC,True,False
ENCODEHT000481430,NNC,False,False
ENST00000309048.7,Known,True,True
ENST00000477755.1,Known,True,True
ENST00000464507.1,Known,True,True
ENST00000377038.7,Known,True,True
ENST00000377036.2,Known,True,True
ENST00000356607.8,Known,True,True
