transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENCODEHT000192787,NIC,True,False
ENST00000623083.4,Known,True,True
ENCODEHT000192790,NIC,True,False
ENCODEHT000192792,NIC,False,False
ENST00000445118.6,Known,True,True
ENST00000441765.5,Known,True,True
ENST00000483767.5,Known,True,True
ENST00000327044.6,Known,True,True
ENCODEHT000192804,NIC,True,True
ENCODEHT000192807,NIC,True,True
ENCODEHT000192815,ISM,True,True
ENCODEHT000192816,ISM,True,True
ENST00000469563.1,Known,True,True
ENST00000338591.7,Known,True,True
ENST00000428771.6,Known,True,True
ENST00000304952.10,Known,True,True
ENST00000481869.1,Known,True,True
ENST00000484667.2,Known,False,True
ENST00000379389.4,Known,True,True
ENCODEHT000192829,ISM,True,True
ENCODEHT000192833,ISM,True,True
ENCODEHT000192834,ISM,True,True
ENCODEHT000192835,NNC,False,False
ENST00000433695.1,Known,True,True
ENST00000421241.6,Known,True,True
ENST00000360001.10,Known,True,True
ENCODEHT000192848,ISM,True,True
ENCODEHT000192850,ISM,True,True
ENCODEHT000192851,NNC,True,False
ENCODEHT000192852,NNC,True,False
ENCODEHT000192853,NNC,False,False
ENST00000263741.11,Known,True,True
ENCODEHT000192856,NIC,True,True
ENST00000494748.1,Known,True,True
ENST00000478938.1,Known,True,True
ENCODEHT000192858,NIC,False,False
ENCODEHT000192860,NNC,False,False
ENCODEHT000192861,NIC,True,True
ENCODEHT000192866,NNC,False,False
ENCODEHT000192867,NIC,True,False
ENST00000347370.6,Known,True,True
ENST00000349431.10,Known,True,True
ENST00000400929.6,Known,True,True
ENST00000464036.5,Known,False,True
ENCODEHT000192878,ISM,True,True
ENST00000379031.9,Known,True,True
ENCODEHT000192879,NIC,False,True
ENCODEHT000192880,NIC,True,True
ENST00000435064.5,Known,True,True
ENST00000497304.6,Known,True,True
ENCODEHT000192881,NIC,True,True
ENCODEHT000192887,NIC,True,True
ENCODEHT000192891,ISM,True,True
ENCODEHT000192894,ISM,True,True
ENST00000429572.5,Known,True,True
ENST00000464957.1,Known,True,True
ENST00000343938.8,Known,True,True
ENST00000339381.5,Known,False,True
ENST00000474033.5,Known,True,True
ENCODEHT000192910,NIC,True,True
ENCODEHT000192912,NIC,True,True
ENST00000338370.7,Known,True,True
ENST00000338338.9,Known,True,True
ENST00000321751.9,Known,True,True
ENST00000378853.3,Known,True,True
ENCODEHT000192915,NNC,False,False
ENCODEHT000192916,NIC,True,True
ENCODEHT000192920,NIC,True,True
ENST00000463260.5,Known,True,True
ENST00000400809.7,Known,True,True
ENCODEHT000192921,NIC,True,True
ENCODEHT000192922,ISM,True,True
ENST00000418865.6,Known,True,True
ENCODEHT000192928,NIC,True,True
ENST00000492998.5,Known,True,True
ENCODEHT000192929,ISM,True,True
ENST00000408918.8,Known,True,True
ENST00000448629.5,antisense,True,True
ENST00000448629.5,Known,True,True
ENST00000444362.2,antisense,True,True
ENST00000444362.2,Known,True,True
ENST00000418833.2,Known,True,True
ENST00000344843.11,Known,True,True
ENST00000487659.1,Known,True,True
ENCODEHT000192937,NIC,True,True
ENCODEHT000192939,NNC,False,False
ENCODEHT000192941,NIC,False,True
ENCODEHT000192942,ISM,True,True
ENST00000427211.3,Known,True,True
ENCODEHT000192943,NNC,True,False
ENCODEHT000192944,NIC,True,True
ENCODEHT000192947,NIC,True,False
ENST00000442470.1,Known,True,True
ENST00000428932.1,antisense,False,True
ENST00000428932.1,Known,False,True
ENST00000338660.5,Known,True,True
ENST00000476993.1,Known,True,True
ENST00000484537.2,Known,True,True
ENST00000308647.7,Known,True,True
ENST00000472194.6,Known,True,True
ENCODEHT000192963,ISM,True,True
ENST00000378756.7,Known,True,True
