transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENCODEHT000254577,NIC,False,False
ENST00000327044.6,Known,True,True
ENCODEHT000192811,ISM,True,True
ENCODEHT000398019,ISM,True,True
ENCODEHT000398022,ISM,True,True
ENCODEHT000449480,ISM,True,True
ENCODEHT000481310,ISM,True,True
ENCODEHT000590359,ISM,True,True
ENST00000428771.6,Known,False,True
ENST00000304952.10,Known,False,True
ENST00000481869.1,Known,False,True
ENST00000484667.2,Known,False,True
ENST00000379389.4,Known,True,True
ENST00000461111.1,Known,False,True
ENCODEHT000449497,NNC,False,False
ENST00000360001.10,Known,False,True
ENCODEHT000192850,ISM,False,True
ENCODEHT000192856,NIC,False,True
ENST00000494748.1,Known,False,True
ENST00000478938.1,Known,False,True
ENST00000349431.10,Known,False,True
ENST00000400929.6,Known,False,True
ENCODEHT000254649,ISM,True,True
ENCODEHT000325121,ISM,True,True
ENCODEHT000492685,ISM,True,True
ENST00000464036.5,Known,False,True
ENST00000467339.1,Known,True,True
ENST00000379031.9,Known,False,True
ENCODEHT000192879,NIC,False,True
ENCODEHT000192880,NIC,False,True
ENCODEHT000533431,NNC,False,False
ENCODEHT000624830,NIC,False,False
ENCODEHT000254662,ISM,True,True
ENCODEHT000398075,ISM,True,True
ENST00000435064.5,Known,True,True
ENST00000497304.6,Known,True,True
ENCODEHT000513012,NIC,False,False
ENCODEHT000192892,NIC,False,False
ENCODEHT000192893,NIC,True,True
ENCODEHT000192894,ISM,True,True
ENCODEHT000192895,NIC,False,False
ENST00000429572.5,Known,True,True
ENST00000343938.8,Known,False,True
ENST00000378891.9,Known,False,True
ENST00000378888.9,Known,False,True
ENCODEHT000254678,ISM,False,True
ENCODEHT000254679,ISM,False,True
ENCODEHT000449532,ISM,False,True
ENCODEHT000533439,NIC,False,True
ENST00000338370.7,Known,True,True
ENST00000338338.9,Known,True,True
ENST00000321751.9,Known,False,True
ENST00000378853.3,Known,False,True
ENCODEHT000192916,NIC,True,True
ENST00000463260.5,Known,True,True
ENST00000400809.7,Known,True,True
ENST00000418865.6,Known,True,True
ENST00000408918.8,Known,True,True
ENST00000448629.5,antisense,True,True
ENST00000448629.5,Known,True,True
ENST00000418833.2,Known,True,True
ENST00000344843.11,Known,True,True
ENCODEHT000192942,ISM,True,True
ENCODEHT000325144,NIC,True,False
ENCODEHT000358226,NIC,True,False
ENST00000476993.1,Known,False,True
ENCODEHT000624857,ISM,False,True
ENST00000472194.6,Known,True,True
ENCODEHT000398121,ISM,True,True
ENCODEHT000254719,ISM,True,True
ENCODEHT000254723,ISM,True,True
ENST00000378756.7,Known,False,True
ENCODEHT000590470,ISM,False,True
ENCODEHT000254732,ISM,False,True
ENCODEHT000192969,NIC,False,True
ENCODEHT000192970,ISM,False,True
ENCODEHT000192971,ISM,False,True
ENCODEHT000192973,ISM,True,True
ENCODEHT000481330,ISM,True,True
ENCODEHT000192976,ISM,True,True
ENCODEHT000254733,ISM,True,True
ENST00000291386.3,Known,True,True
ENST00000378726.1,Known,True,True
ENCODEHT000192978,ISM,True,True
ENCODEHT000533478,NIC,False,False
ENST00000359060.5,Known,True,True
ENST00000483015.1,Known,False,True
ENCODEHT000254746,ISM,True,True
ENCODEHT000193006,ISM,True,True
ENST00000611123.1,Known,False,True
ENST00000341426.9,Known,False,True
ENCODEHT000560390,NIC,False,False
ENCODEHT000624891,NIC,False,True
ENST00000610897.4,Known,True,True
ENST00000378609.8,Known,True,True
ENCODEHT000193027,ISM,True,True
ENCODEHT000513041,NIC,False,False
ENCODEHT000193030,ISM,True,True
ENCODEHT000492720,NNC,False,False
ENST00000378602.3,Known,True,True
ENST00000310991.7,Known,False,True
ENCODEHT000193037,NIC,True,True
ENST00000378567.7,Known,False,True
ENST00000378543.2,Known,False,True
ENST00000378546.8,Known,False,True
ENCODEHT000193057,NNC,False,False
ENCODEHT000358267,NIC,False,False
ENCODEHT000398192,NIC,True,True
ENCODEHT000590532,NIC,True,False
ENST00000476803.1,Known,True,True
ENST00000420515.1,Known,False,True
ENST00000378536.4,Known,False,True
ENST00000378513.7,Known,True,True
ENCODEHT000513054,NIC,False,False
ENCODEHT000254838,NIC,True,False
ENST00000605895.5,Known,True,True
ENCODEHT000193069,NIC,False,False
ENST00000306256.13,Known,False,True
ENCODEHT000624906,NIC,False,False
ENST00000378512.5,Known,True,True
ENCODEHT000254846,NNC,False,False
ENST00000488353.2,Known,True,True
ENCODEHT000254847,ISM,True,True
ENCODEHT000398214,ISM,True,True
ENST00000462129.1,Known,True,True
ENST00000447513.6,Known,False,True
ENST00000378466.7,Known,True,True
ENST00000493183.5,Known,False,True
ENST00000378344.6,Known,False,True
ENST00000378322.7,Known,True,True
ENST00000270708.11,Known,True,True
ENCODEHT000481351,ISM,True,True
ENST00000479331.1,Known,True,True
ENST00000648479.1,Known,True,True
ENST00000642557.1,Known,True,True
ENST00000561886.2,Known,True,True
ENST00000444870.7,Known,True,True
ENST00000452264.1,Known,True,True
ENCODEHT000193137,NIC,True,True
ENST00000378251.2,Known,False,True
ENCODEHT000193141,ISM,True,True
ENST00000462356.5,Known,True,True
ENCODEHT000398241,ISM,False,True
ENST00000378230.7,Known,True,True
ENST00000361605.3,Known,True,True
ENST00000642026.1,Known,True,True
ENST00000234875.8,Known,True,True
ENCODEHT000193171,NNC,False,False
ENST00000480661.1,Known,True,True
ENCODEHT000193172,NNC,False,False
ENCODEHT000193174,NNC,False,False
ENCODEHT000193175,ISM,True,True
ENCODEHT000193176,NNC,True,False
ENCODEHT000398276,NIC,True,True
ENCODEHT000398281,ISM,True,False
ENCODEHT000449676,ISM,True,False
ENCODEHT000481374,NNC,False,False
ENCODEHT000492768,NNC,False,False
ENCODEHT000492771,ISM,False,False
ENCODEHT000533588,ISM,True,False
ENST00000471204.5,Known,True,True
ENCODEHT000398285,ISM,True,False
ENST00000343813.9,Known,True,True
ENST00000608083.5,Known,True,True
ENCODEHT000193188,ISM,True,True
ENCODEHT000193192,ISM,True,True
ENST00000377705.5,Known,True,True
ENCODEHT000193225,NIC,True,True
ENST00000377658.8,Known,True,True
ENST00000377663.3,Known,True,True
ENST00000487819.5,Known,False,True
ENST00000472925.1,Known,True,True
ENST00000377577.9,Known,True,True
ENST00000460594.5,Known,True,True
ENST00000490738.5,Known,True,True
ENST00000473578.5,Known,True,True
ENCODEHT000325254,NIC,True,True
ENST00000054666.10,Known,True,True
ENST00000338639.9,Known,True,True
ENCODEHT000193258,NNC,True,False
ENST00000493678.5,Known,True,True
ENCODEHT000255025,NNC,False,False
ENCODEHT000513100,NNC,False,False
ENCODEHT000193262,NNC,False,False
ENCODEHT000193263,NIC,True,False
ENCODEHT000193264,NIC,True,True
ENCODEHT000193265,NIC,True,False
ENCODEHT000193267,NIC,True,False
ENCODEHT000481388,NNC,False,False
ENCODEHT000193268,NIC,True,True
ENCODEHT000358375,ISM,True,True
ENCODEHT000193269,ISM,True,True
ENCODEHT000193270,ISM,True,True
ENST00000234590.10,Known,True,True
ENCODEHT000193289,ISM,True,True
ENST00000464920.2,Known,True,True
ENCODEHT000193291,NNC,False,False
ENCODEHT000193293,NIC,True,False
ENCODEHT000193294,ISM,True,True
ENCODEHT000193295,ISM,True,True
ENCODEHT000193296,ISM,True,True
ENCODEHT000193297,ISM,True,True
ENCODEHT000193298,ISM,True,True
ENCODEHT000255042,NNC,False,False
ENCODEHT000590669,ISM,False,False
ENCODEHT000624994,ISM,False,False
ENCODEHT000193299,NNC,False,False
ENCODEHT000193300,ISM,True,True
ENCODEHT000193301,NIC,True,True
ENCODEHT000193302,NNC,False,False
ENCODEHT000193306,NNC,False,False
ENCODEHT000193315,NNC,False,False
ENCODEHT000193316,NNC,False,False
ENCODEHT000193321,ISM,True,True
ENCODEHT000193329,NIC,True,False
ENCODEHT000193330,ISM,False,False
ENCODEHT000255047,NIC,False,False
ENCODEHT000255052,NIC,False,False
ENCODEHT000255086,NNC,False,False
ENCODEHT000325274,ISM,True,False
ENCODEHT000325282,NNC,False,False
ENCODEHT000481393,ISM,False,False
ENCODEHT000481399,ISM,False,False
ENCODEHT000481400,ISM,True,False
ENCODEHT000481401,ISM,False,False
ENCODEHT000492790,ISM,False,False
ENST00000645609.1,Known,True,True
ENCODEHT000255087,ISM,True,True
ENCODEHT000358407,NIC,True,True
ENST00000302692.6,Known,True,True
ENCODEHT000193357,ISM,True,True
ENST00000415330.2,antisense,True,True
ENST00000415330.2,Known,True,True
ENCODEHT000193362,antisense,True,True
ENCODEHT000193362,ISM,True,True
ENCODEHT000193366,ISM,True,True
ENST00000400904.7,Known,False,True
ENST00000377223.5,Known,True,True
ENST00000400903.6,Known,True,True
ENST00000377213.1,Known,True,True
ENCODEHT000560589,NIC,True,True
ENCODEHT000625033,NNC,False,False
ENST00000377153.5,Known,True,True
ENST00000477958.5,Known,True,True
ENCODEHT000193418,NNC,False,False
ENCODEHT000255151,NIC,True,False
ENST00000270776.12,Known,True,True
ENCODEHT000193421,NIC,True,True
ENCODEHT000513161,NIC,False,False
ENCODEHT000193424,ISM,True,True
ENCODEHT000193425,ISM,True,True
ENCODEHT000255158,ISM,True,True
ENCODEHT000193426,ISM,True,True
ENCODEHT000193427,NIC,True,True
ENCODEHT000193428,ISM,True,True
ENCODEHT000193429,ISM,True,True
ENCODEHT000193430,NIC,True,True
ENCODEHT000193431,ISM,True,True
ENST00000602787.6,Known,True,True
ENST00000309048.7,Known,True,True
ENST00000477755.1,Known,True,True
ENST00000377038.7,Known,True,True
ENST00000377036.2,Known,True,True
ENST00000356607.8,Known,True,True
ENST00000240185.7,Known,True,True
ENST00000475189.1,Known,True,True
ENST00000376957.6,Known,True,True
ENCODEHT000193467,NIC,True,True
ENCODEHT000193470,NIC,True,True
ENCODEHT000193472,NIC,True,True
ENCODEHT000193473,ISM,True,True
ENCODEHT000193474,NIC,True,False
ENCODEHT000255194,ISM,True,True
ENCODEHT000255196,NIC,False,False
ENCODEHT000398472,NIC,True,True
ENST00000376936.8,Known,True,True
ENST00000490565.1,Known,True,True
ENST00000361445.8,Known,True,True
ENST00000473471.5,Known,True,True
ENST00000376810.5,Known,True,True
ENST00000354287.4,Known,False,True
ENST00000376770.5,Known,False,True
ENST00000376753.8,Known,True,True
ENCODEHT000193517,NIC,True,True
ENCODEHT000255222,ISM,True,True
ENCODEHT000560633,NNC,False,False
ENST00000376692.8,Known,True,True
ENCODEHT000193519,NIC,True,True
ENCODEHT000193520,ISM,True,True
ENCODEHT000255227,ISM,True,True
ENCODEHT000398505,ISM,True,True
ENST00000376637.7,Known,True,True
ENCODEHT000625105,NIC,False,False
ENST00000376629.8,Known,True,True
ENST00000314340.9,Known,True,True
ENST00000452018.6,Known,True,True
ENCODEHT000255234,ISM,True,True
ENST00000376583.7,Known,True,True
ENST00000376590.8,Known,True,True
ENST00000641820.1,Known,True,True
ENST00000376572.7,Known,True,True
ENCODEHT000193533,ISM,True,True
ENCODEHT000193538,NNC,False,False
ENCODEHT000481444,NIC,False,False
ENCODEHT000533776,NIC,False,False
ENST00000196061.4,Known,True,True
ENCODEHT000193551,ISM,True,True
ENCODEHT000449841,ISM,True,True
ENCODEHT000193560,ISM,True,True
ENCODEHT000193562,ISM,True,True
ENST00000481933.1,Known,True,True
ENST00000235332.5,Known,True,True
ENCODEHT000255273,ISM,True,True
ENST00000466860.5,Known,True,True
ENCODEHT000255276,NIC,True,True
ENCODEHT000358519,ISM,True,True
ENST00000478299.1,Known,True,True
ENST00000376259.6,Known,False,True
ENST00000492361.1,Known,False,True
ENST00000616661.4,Known,True,True
ENCODEHT000255297,ISM,True,True
ENST00000375980.8,Known,True,True
ENCODEHT000193618,ISM,True,True
ENST00000333868.9,Known,True,True
ENCODEHT000398619,NNC,False,False
ENCODEHT000533810,ISM,True,True
ENST00000375799.7,Known,False,True
ENCODEHT000481457,ISM,True,True
ENST00000375793.2,Known,False,True
ENCODEHT000193647,ISM,False,True
ENCODEHT000193650,ISM,False,True
ENST00000375743.8,Known,False,True
ENCODEHT000325434,ISM,False,True
ENST00000375662.4,Known,False,True
ENST00000441785.1,Known,True,True
ENST00000375599.7,Known,False,True
ENST00000375592.7,Known,True,True
ENCODEHT000193694,NNC,True,False
ENST00000401088.8,Known,True,True
ENST00000471507.5,Known,True,True
ENST00000401089.3,Known,True,True
ENST00000492354.1,Known,True,True
ENCODEHT000255378,ISM,True,True
ENST00000337132.9,Known,True,True
ENST00000509727.1,Known,True,True
ENST00000326735.12,Known,False,True
ENCODEHT000193771,ISM,False,True
ENCODEHT000255464,NIC,False,True
ENCODEHT000398700,ISM,False,True
ENST00000375499.7,Known,True,True
ENCODEHT000193779,ISM,True,True
ENCODEHT000193780,ISM,True,True
ENST00000485092.5,Known,True,True
ENCODEHT000193781,NIC,True,True
ENCODEHT000193782,NNC,False,False
ENCODEHT000481467,ISM,True,True
ENCODEHT000481468,NIC,False,False
ENCODEHT000481469,NNC,False,False
ENCODEHT000625202,NIC,False,False
ENST00000375436.8,Known,False,True
ENCODEHT000492898,NNC,False,False
ENCODEHT000625209,NIC,False,False
ENST00000375433.3,Known,False,True
ENST00000375406.1,Known,True,True
ENST00000617065.1,Known,True,True
ENST00000290597.9,Known,False,True
ENST00000538839.5,Known,False,True
ENST00000375225.7,Known,True,True
ENCODEHT000325459,ISM,True,True
ENST00000477853.5,Known,True,True
ENST00000461353.1,Known,True,True
ENST00000330263.4,Known,True,True
ENCODEHT000255511,ISM,True,True
