transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENSMUST00000191939.1,Known,True,True
ENSMUST00000193443.1,Known,False,False
ENSMUST00000130201.7,Known,True,True
ENSMUST00000156816.6,Known,True,True
TALONT00000131085,ISM,False,False
TALONT00000131086,NNC,True,False
TALONT00000131088,ISM,True,True
TALONT00000131090,ISM,True,True
ENSMUST00000146665.2,Known,True,True
ENSMUST00000027036.10,Known,True,True
ENSMUST00000150971.7,Known,True,True
ENSMUST00000115529.7,Known,True,True
ENSMUST00000081551.13,Known,True,True
TALONT00000131097,ISM,True,True
TALONT00000131098,ISM,True,True
TALONT00000131099,ISM,True,True
TALONT00000131100,NNC,True,False
TALONT00000131101,ISM,True,True
TALONT00000131103,ISM,True,False
ENSMUST00000165720.2,Known,True,True
TALONT00000131107,ISM,True,True
TALONT00000131108,ISM,True,True
TALONT00000131109,ISM,True,True
TALONT00000131110,ISM,True,True
TALONT00000131111,ISM,False,False
ENSMUST00000002533.14,Known,True,True
TALONT00000131115,ISM,True,True
TALONT00000131116,NNC,False,False
TALONT00000131118,NNC,True,False
TALONT00000131120,ISM,True,True
ENSMUST00000119256.7,Known,True,True
TALONT00000131123,NNC,True,False
ENSMUST00000044369.12,Known,True,True
TALONT00000131132,NIC,True,False
TALONT00000131135,NIC,True,False
TALONT00000131138,ISM,True,True
TALONT00000131142,NNC,True,False
TALONT00000131143,ISM,True,True
TALONT00000131144,NNC,False,False
ENSMUST00000192698.2,Known,True,True
TALONT00000131147,NIC,True,True
TALONT00000131148,NIC,False,False
ENSMUST00000192142.1,Known,True,True
TALONT00000131152,ISM,True,True
TALONT00000131153,ISM,True,True
TALONT00000131158,ISM,True,True
TALONT00000131159,ISM,True,True
TALONT00000131162,ISM,True,True
TALONT00000131164,ISM,True,True
TALONT00000131166,ISM,True,True
TALONT00000131167,ISM,True,True
TALONT00000131168,ISM,True,True
TALONT00000131169,ISM,True,True
TALONT00000131170,ISM,False,False
ENSMUST00000160777.7,Known,True,True
ENSMUST00000027038.10,Known,True,True
ENSMUST00000160339.1,Known,True,True
TALONT00000131180,NIC,True,True
TALONT00000131181,ISM,True,True
TALONT00000131185,NIC,True,True
TALONT00000131192,ISM,True,True
ENSMUST00000159802.1,Known,True,True
TALONT00000131193,ISM,True,True
TALONT00000131194,ISM,True,True
TALONT00000131203,NIC,True,True
TALONT00000131205,ISM,True,True
ENSMUST00000159661.7,Known,True,True
TALONT00000131207,ISM,True,True
ENSMUST00000159349.1,Known,True,True
TALONT00000131208,NIC,True,True
TALONT00000131209,ISM,True,True
ENSMUST00000159656.1,Known,True,True
TALONT00000131211,ISM,False,False
ENSMUST00000061280.16,Known,True,True
ENSMUST00000182114.7,Known,True,True
TALONT00000131231,NIC,True,True
ENSMUST00000182892.7,Known,True,True
ENSMUST00000183204.1,Known,True,True
TALONT00000131245,NNC,True,False
TALONT00000131253,NIC,True,True
TALONT00000131254,NIC,True,True
TALONT00000131257,ISM,True,True
TALONT00000131266,ISM,True,True
ENSMUST00000072079.8,Known,False,False
ENSMUST00000144177.7,Known,True,True
ENSMUST00000027044.14,Known,True,True
TALONT00000131278,NIC,True,True
TALONT00000131282,ISM,True,True
TALONT00000131283,ISM,True,True
TALONT00000131287,ISM,True,True
ENSMUST00000115480.7,antisense,True,True
ENSMUST00000115480.7,Known,True,True
ENSMUST00000088666.3,Known,True,True
TALONT00000131290,ISM,True,True
TALONT00000131292,ISM,True,True
TALONT00000131293,ISM,False,False
ENSMUST00000057438.6,Known,True,True
ENSMUST00000166384.7,Known,True,True
ENSMUST00000168907.7,Known,True,True
ENSMUST00000171265.7,Known,True,True
ENSMUST00000182580.7,Known,True,True
ENSMUST00000182819.7,Known,True,True
ENSMUST00000182043.7,Known,True,True
ENSMUST00000182742.1,Known,True,True
ENSMUST00000027050.9,Known,True,True
TALONT00000131326,NIC,True,True
TALONT00000131327,NIC,True,True
TALONT00000131329,ISM,True,True
TALONT00000131330,ISM,True,True
TALONT00000131331,NIC,True,True
ENSMUST00000139578.7,Known,True,True
TALONT00000131333,NIC,True,True
ENSMUST00000143606.7,Known,True,True
ENSMUST00000117415.7,Known,True,True
ENSMUST00000122156.7,Known,True,True
ENSMUST00000190063.6,Known,True,True
TALONT00000131346,ISM,True,True
TALONT00000131349,NIC,True,True
ENSMUST00000187417.1,Known,True,True
TALONT00000131354,ISM,True,True
TALONT00000131356,ISM,True,True
ENSMUST00000027056.11,Known,True,True
TALONT00000131363,ISM,True,True
TALONT00000131366,ISM,True,True
TALONT00000131367,ISM,True,True
ENSMUST00000171690.8,Known,True,True
ENSMUST00000048613.13,Known,True,True
TALONT00000131378,NIC,True,False
TALONT00000131379,NIC,True,True
ENSMUST00000150870.7,Known,True,True
TALONT00000131384,NIC,True,True
ENSMUST00000135014.7,Known,True,True
TALONT00000131388,NIC,True,True
ENSMUST00000137824.7,Known,True,True
ENSMUST00000179089.7,Known,True,True
ENSMUST00000177608.7,Known,True,True
TALONT00000131413,ISM,False,False
ENSMUST00000027068.10,Known,True,True
TALONT00000131426,ISM,True,True
TALONT00000131427,NIC,True,True
TALONT00000131428,ISM,True,True
ENSMUST00000027071.6,Known,True,True
ENSMUST00000027062.6,Known,True,True
ENSMUST00000190719.1,Known,True,True
TALONT00000131462,ISM,True,True
ENSMUST00000188371.6,Known,True,True
TALONT00000131476,NIC,True,False
TALONT00000131478,ISM,True,True
ENSMUST00000040695.4,Known,True,True
ENSMUST00000058437.13,Known,True,True
TALONT00000131483,NIC,True,True
TALONT00000131484,NNC,False,False
TALONT00000131485,NNC,False,False
TALONT00000131486,ISM,True,True
TALONT00000131487,NIC,True,True
TALONT00000131488,ISM,True,True
TALONT00000131491,NIC,True,True
TALONT00000131492,NIC,False,False
ENSMUST00000027053.7,Known,True,True
ENSMUST00000162751.7,Known,True,True
ENSMUST00000027052.12,Known,True,True
TALONT00000131504,ISM,True,True
ENSMUST00000162435.7,Known,True,True
TALONT00000131505,ISM,True,True
ENSMUST00000128957.8,Known,True,True
TALONT00000131513,NIC,True,True
ENSMUST00000162007.7,Known,True,True
TALONT00000131518,NIC,True,True
TALONT00000131519,ISM,True,True
TALONT00000131521,ISM,True,True
TALONT00000131524,ISM,True,True
TALONT00000131525,ISM,True,True
TALONT00000131526,NNC,True,False
TALONT00000131527,ISM,True,True
TALONT00000131529,ISM,True,True
TALONT00000131531,ISM,True,True
ENSMUST00000145092.7,Known,True,True
TALONT00000131533,NIC,True,True
TALONT00000131550,NIC,True,True
TALONT00000131553,ISM,True,True
ENSMUST00000117146.8,Known,True,True
TALONT00000131554,NNC,False,False
TALONT00000131555,NNC,False,False
TALONT00000131556,ISM,True,True
TALONT00000131563,NIC,True,False
TALONT00000131566,NNC,True,False
TALONT00000131567,NIC,True,True
ENSMUST00000136455.8,Known,True,True
ENSMUST00000188641.6,Known,True,True
TALONT00000131581,NNC,True,False
TALONT00000131582,ISM,True,True
ENSMUST00000115352.9,Known,True,True
TALONT00000131586,NNC,False,False
ENSMUST00000186948.6,Known,True,True
TALONT00000131587,NIC,True,True
TALONT00000131588,NNC,False,False
TALONT00000131589,NIC,True,False
TALONT00000131590,ISM,False,False
ENSMUST00000187910.6,Known,True,True
ENSMUST00000185771.6,Known,True,True
TALONT00000131591,NIC,True,False
TALONT00000131592,NIC,False,False
ENSMUST00000185393.6,Known,True,True
ENSMUST00000186701.1,Known,True,True
ENSMUST00000177501.1,Known,True,True
TALONT00000131595,NNC,True,False
TALONT00000131596,NNC,False,False
ENSMUST00000065373.5,Known,True,True
TALONT00000131598,ISM,True,True
ENSMUST00000026881.10,Known,True,True
TALONT00000131606,ISM,True,True
ENSMUST00000026879.7,Known,True,True
TALONT00000131608,ISM,True,True
TALONT00000131609,ISM,False,False
TALONT00000131610,ISM,True,True
ENSMUST00000189736.1,Known,True,True
TALONT00000131617,ISM,False,False
ENSMUST00000095075.4,Known,True,True
ENSMUST00000209405.1,Known,True,True
ENSMUST00000037294.7,Known,True,True
TALONT00000131632,ISM,True,True
ENSMUST00000191111.1,Known,False,True
ENSMUST00000053266.10,Known,True,True
ENSMUST00000189400.6,Known,True,True
TALONT00000131640,ISM,False,False
ENSMUST00000038447.5,Known,True,True
TALONT00000131658,NNC,True,False
TALONT00000131659,NIC,True,False
ENSMUST00000027065.11,Known,True,True
TALONT00000131662,NNC,True,False
ENSMUST00000027064.7,Known,True,True
TALONT00000131665,NNC,True,False
TALONT00000131667,ISM,True,True
ENSMUST00000027067.14,Known,True,True
TALONT00000131661,antisense,True,False
TALONT00000131661,NNC,True,False
ENSMUST00000185842.1,antisense,True,True
ENSMUST00000185842.1,Known,True,True
TALONT00000131692,ISM,True,True
TALONT00000131697,ISM,True,True
TALONT00000131698,ISM,True,True
TALONT00000131702,ISM,True,True
TALONT00000131708,ISM,True,True
TALONT00000131709,NNC,True,False
TALONT00000131711,NIC,True,False
TALONT00000131717,ISM,True,True
TALONT00000131720,NIC,False,False
TALONT00000131721,NIC,False,False
TALONT00000131723,ISM,False,False
TALONT00000131726,ISM,True,True
TALONT00000131732,ISM,False,False
TALONT00000131733,NNC,True,False
ENSMUST00000027343.5,Known,True,True
ENSMUST00000186064.6,Known,True,True
TALONT00000131740,NNC,True,False
TALONT00000131741,ISM,True,True
TALONT00000131744,ISM,True,True
TALONT00000131748,ISM,True,True
ENSMUST00000063663.5,Known,True,True
ENSMUST00000140583.1,Known,True,True
ENSMUST00000027339.13,Known,True,True
TALONT00000131756,ISM,True,True
TALONT00000131758,NIC,True,True
TALONT00000131769,ISM,True,True
TALONT00000131770,ISM,True,True
ENSMUST00000027338.3,Known,True,True
TALONT00000131773,NNC,False,False
TALONT00000131774,NNC,True,False
