transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENCODEHT000325090,NIC,False,False
ENCODEHT000192787,NIC,True,False
ENST00000623083.4,Known,True,True
ENCODEHT000533388,ISM,True,True
ENCODEHT000533390,ISM,True,True
ENCODEHT000560262,ISM,True,True
ENST00000327044.6,Known,True,True
ENCODEHT000192807,NIC,True,True
ENCODEHT000358178,ISM,True,True
ENCODEHT000398022,ISM,True,True
ENCODEHT000449480,ISM,True,True
ENST00000428771.6,Known,True,True
ENCODEHT000560279,NIC,False,False
ENST00000304952.10,Known,True,True
ENST00000481869.1,Known,True,True
ENST00000484667.2,Known,False,True
ENST00000379389.4,Known,True,True
ENCODEHT000533408,NIC,False,False
ENCODEHT000192829,ISM,True,True
ENCODEHT000192833,ISM,True,True
ENCODEHT000254616,ISM,True,True
ENST00000461111.1,Known,True,True
ENCODEHT000398044,ISM,True,True
ENCODEHT000254620,NIC,True,False
ENCODEHT000398045,NNC,True,False
ENST00000433695.1,Known,True,True
ENST00000451054.1,Known,True,True
ENST00000360001.10,Known,True,True
ENCODEHT000192848,ISM,True,True
ENCODEHT000192850,ISM,True,True
ENCODEHT000533416,ISM,True,True
ENST00000263741.11,Known,True,True
ENCODEHT000192856,NIC,True,True
ENCODEHT000560297,NIC,False,False
ENST00000494748.1,Known,True,True
ENST00000478938.1,Known,True,True
ENCODEHT000481320,NIC,True,True
ENCODEHT000533419,ISM,True,True
ENCODEHT000560303,ISM,True,True
ENCODEHT000481322,ISM,True,True
ENCODEHT000192867,NIC,True,False
ENST00000347370.6,Known,True,True
ENCODEHT000513005,NIC,True,True
ENST00000349431.10,Known,True,True
ENST00000400929.6,Known,True,True
ENCODEHT000254649,ISM,True,True
ENCODEHT000325121,ISM,True,True
ENCODEHT000492685,ISM,True,True
ENST00000467339.1,Known,True,True
ENCODEHT000254654,ISM,True,True
ENCODEHT000192877,NIC,True,True
ENCODEHT000192878,ISM,True,True
ENST00000379031.9,Known,True,True
ENCODEHT000192880,NIC,True,True
ENCODEHT000254656,NNC,False,False
ENCODEHT000533431,NNC,False,False
ENCODEHT000254662,ISM,True,True
ENCODEHT000398074,ISM,True,True
ENCODEHT000398075,ISM,True,True
ENST00000435064.5,Known,True,True
ENST00000497304.6,Known,True,True
ENCODEHT000560324,ISM,False,False
ENCODEHT000192886,NIC,True,True
ENCODEHT000192891,ISM,True,True
ENCODEHT000192895,NIC,False,False
ENCODEHT000254669,NIC,True,True
ENCODEHT000254670,ISM,True,True
ENST00000429572.5,Known,True,True
ENST00000343938.8,Known,True,True
ENCODEHT000325132,ISM,True,True
ENST00000378891.9,Known,True,True
ENST00000378888.9,Known,True,True
ENCODEHT000254678,ISM,True,True
ENCODEHT000254679,ISM,True,True
ENCODEHT000449532,ISM,True,True
ENCODEHT000533443,ISM,True,True
ENCODEHT000560338,ISM,True,True
ENCODEHT000560342,ISM,True,True
ENST00000472445.1,Known,True,True
ENCODEHT000533444,NNC,False,False
ENCODEHT000192910,NIC,True,True
ENCODEHT000192912,NIC,True,True
ENCODEHT000254685,NIC,True,True
ENCODEHT000533445,NIC,True,True
ENCODEHT000533446,NIC,True,True
ENCODEHT000533447,NIC,False,False
ENCODEHT000533449,NNC,False,False
ENCODEHT000560346,NIC,True,True
ENST00000473097.5,Known,True,True
ENST00000338370.7,Known,True,True
ENST00000338338.9,Known,True,True
ENST00000321751.9,Known,True,True
ENCODEHT000192913,NIC,True,True
ENCODEHT000449541,NIC,True,True
ENST00000378853.3,Known,True,True
ENCODEHT000192916,NIC,True,True
ENCODEHT000254686,NIC,True,True
ENCODEHT000533457,NIC,False,False
ENCODEHT000560349,NNC,False,False
ENST00000463260.5,Known,True,True
ENST00000400809.7,Known,True,True
ENCODEHT000192923,ISM,True,True
ENST00000418865.6,Known,True,True
ENST00000408918.8,Known,True,True
ENCODEHT000560352,ISM,True,True
ENST00000448629.5,antisense,True,True
ENST00000448629.5,Known,True,True
ENST00000418833.2,Known,True,True
ENCODEHT000192933,NNC,True,False
ENST00000344843.11,Known,True,True
ENCODEHT000192942,ISM,True,True
ENCODEHT000254704,NIC,True,True
ENCODEHT000358226,NIC,True,False
ENST00000492508.1,Known,True,True
ENST00000427211.3,Known,True,True
ENST00000537107.5,Known,False,True
ENST00000442470.1,Known,True,True
ENST00000454562.1,Known,True,True
ENST00000417917.1,Known,False,True
ENST00000338660.5,Known,True,True
ENST00000476993.1,Known,True,True
ENCODEHT000560361,NIC,True,True
ENCODEHT000533464,NNC,False,False
ENCODEHT000192956,ISM,True,True
ENST00000484537.2,Known,True,True
ENST00000308647.7,Known,True,True
ENCODEHT000254723,ISM,True,True
ENCODEHT000192963,ISM,True,True
ENST00000378756.7,Known,True,True
ENCODEHT000398125,ISM,True,True
ENCODEHT000449573,ISM,True,True
ENCODEHT000398128,NNC,False,False
ENCODEHT000533469,NIC,True,True
ENCODEHT000254732,ISM,True,True
ENCODEHT000192969,NIC,True,True
ENCODEHT000192970,ISM,True,True
ENCODEHT000192971,ISM,True,True
ENCODEHT000192973,ISM,True,True
ENCODEHT000325155,NIC,True,True
ENCODEHT000481330,ISM,True,True
ENCODEHT000192974,ISM,True,True
ENCODEHT000192976,ISM,True,True
ENCODEHT000254733,ISM,True,True
ENST00000291386.3,Known,True,True
ENCODEHT000533477,NNC,False,False
ENST00000378726.1,Known,True,True
ENCODEHT000192978,ISM,True,True
ENCODEHT000192981,NNC,True,False
ENCODEHT000254734,ISM,True,True
ENCODEHT000533478,NIC,False,False
ENST00000378725.3,Known,True,True
ENST00000359060.5,Known,True,True
ENCODEHT000533488,NIC,True,True
ENCODEHT000533490,ISM,True,True
ENCODEHT000560376,NIC,True,True
ENCODEHT000192998,ISM,True,True
ENCODEHT000192999,NIC,True,True
ENCODEHT000533495,NIC,False,False
ENCODEHT000358246,NIC,True,True
ENST00000470373.1,Known,True,True
ENCODEHT000193003,ISM,True,True
ENCODEHT000358247,ISM,True,True
ENCODEHT000358248,ISM,True,True
ENCODEHT000398143,ISM,True,True
ENST00000480991.1,Known,True,True
ENCODEHT000492712,NIC,True,True
ENCODEHT000513038,NIC,True,True
ENST00000341426.9,Known,True,True
ENST00000341991.7,Known,True,True
ENCODEHT000254773,ISM,True,True
ENCODEHT000254775,ISM,True,True
ENCODEHT000560386,ISM,False,False
ENCODEHT000254780,NIC,True,True
ENCODEHT000560392,ISM,True,True
ENST00000610897.4,Known,True,True
ENST00000378609.8,Known,True,True
ENCODEHT000193027,ISM,True,True
ENCODEHT000254781,ISM,True,True
ENCODEHT000254783,ISM,True,True
ENCODEHT000325166,ISM,True,True
ENCODEHT000513041,NIC,False,False
ENCODEHT000193030,ISM,True,True
ENCODEHT000193033,ISM,True,True
ENCODEHT000254785,ISM,True,True
ENCODEHT000398178,NNC,False,False
ENCODEHT000492720,NNC,False,False
ENCODEHT000533510,NIC,False,False
ENST00000472614.2,Known,True,True
ENST00000378602.3,Known,True,True
ENCODEHT000193037,NIC,False,True
ENCODEHT000254798,NIC,True,True
ENST00000470931.2,Known,False,True
ENST00000602604.1,Known,False,True
ENCODEHT000533519,NNC,False,False
ENST00000378567.7,Known,True,True
ENCODEHT000254812,NIC,True,True
ENCODEHT000193048,NIC,True,True
ENCODEHT000254820,ISM,True,True
ENCODEHT000193050,ISM,True,True
ENCODEHT000533524,NNC,False,False
ENST00000505322.5,Known,True,True
ENCODEHT000533525,ISM,True,True
ENCODEHT000533527,ISM,True,True
ENCODEHT000254823,ISM,True,True
ENCODEHT000560418,ISM,True,True
ENCODEHT000193054,ISM,True,True
ENST00000378543.2,Known,True,True
ENST00000378546.8,Known,True,True
ENCODEHT000193057,NNC,True,False
ENCODEHT000193058,NIC,True,True
ENCODEHT000358267,NIC,False,False
ENCODEHT000398192,NIC,True,True
ENCODEHT000533531,NIC,True,True
ENST00000476803.1,Known,True,True
ENCODEHT000513051,NIC,True,True
ENST00000420515.1,Known,True,True
ENCODEHT000533534,NIC,True,True
ENST00000378513.7,Known,True,True
ENST00000605895.5,Known,True,True
ENCODEHT000193069,NIC,True,False
ENCODEHT000533540,NIC,False,False
ENST00000378512.5,Known,True,True
ENST00000488353.2,Known,True,True
ENCODEHT000398214,ISM,True,True
ENCODEHT000254848,ISM,True,True
ENST00000462129.1,Known,True,True
ENCODEHT000560433,NIC,False,False
ENST00000447513.6,Known,True,True
ENCODEHT000193080,NIC,True,True
ENCODEHT000193083,ISM,True,True
ENCODEHT000533544,NNC,False,False
ENCODEHT000560436,NIC,False,False
ENST00000508384.5,Known,True,True
ENST00000378466.7,Known,True,True
ENST00000505228.5,Known,True,True
ENST00000448624.2,antisense,True,True
ENST00000448624.2,Known,True,True
ENST00000355716.4,Known,True,True
ENST00000482074.6,Known,True,True
ENCODEHT000193092,NNC,False,False
ENCODEHT000193094,NIC,True,True
ENST00000378427.6,Known,True,True
ENST00000476686.1,Known,True,True
ENST00000321336.1,antisense,True,True
ENST00000321336.1,Known,True,True
ENCODEHT000560445,antisense,False,False
ENCODEHT000560445,NNC,False,False
ENST00000378378.8,Known,True,True
ENCODEHT000193114,ISM,True,True
ENST00000378371.6,Known,True,True
ENCODEHT000193117,NIC,True,True
ENCODEHT000560450,NIC,True,True
ENCODEHT000533563,ISM,True,True
ENCODEHT000193119,ISM,True,True
ENCODEHT000560452,ISM,True,True
ENST00000378344.6,Known,True,True
ENCODEHT000398223,ISM,True,True
ENST00000378322.7,Known,True,True
ENST00000270708.11,Known,True,True
ENCODEHT000254904,NIC,True,True
ENCODEHT000533567,NIC,True,True
ENST00000479331.1,Known,True,True
ENST00000378295.8,Known,False,True
ENST00000647831.1,Known,True,True
ENST00000642557.1,Known,False,True
ENCODEHT000254915,NIC,True,True
ENST00000444870.7,Known,True,True
ENST00000452264.1,Known,True,True
ENCODEHT000193137,NIC,True,True
ENCODEHT000398235,ISM,True,True
ENST00000378251.2,Known,True,True
ENCODEHT000193141,ISM,True,True
ENCODEHT000533572,ISM,True,True
ENST00000462356.5,Known,True,True
ENCODEHT000398241,ISM,True,True
ENCODEHT000560474,ISM,True,True
ENCODEHT000492749,ISM,True,True
ENST00000484420.1,Known,True,True
ENST00000361605.3,Known,True,True
ENCODEHT000193154,ISM,True,True
ENCODEHT000449667,ISM,True,True
ENST00000352527.5,Known,True,True
ENST00000234875.8,Known,True,True
ENCODEHT000193171,NNC,False,False
ENST00000480661.1,Known,True,True
ENCODEHT000193172,NNC,False,False
ENCODEHT000193174,NNC,False,False
ENCODEHT000193175,ISM,True,True
ENCODEHT000193176,NNC,True,False
ENCODEHT000254955,ISM,True,False
ENCODEHT000398281,ISM,True,False
ENCODEHT000492766,NIC,False,False
ENCODEHT000492768,NNC,False,False
ENCODEHT000492771,ISM,False,False
ENCODEHT000533588,ISM,False,False
ENCODEHT000560489,ISM,False,False
ENCODEHT000193180,ISM,True,True
ENST00000343813.9,Known,True,True
ENST00000489498.5,Known,True,True
ENCODEHT000254963,ISM,True,True
ENST00000474756.1,Known,True,True
ENST00000608083.5,Known,True,True
ENST00000377842.7,Known,True,True
ENST00000377845.7,Known,True,True
ENCODEHT000193188,ISM,True,True
ENCODEHT000193189,ISM,True,True
ENCODEHT000193190,ISM,True,True
ENCODEHT000193191,ISM,True,True
ENCODEHT000193192,ISM,True,True
ENCODEHT000193195,ISM,True,True
ENCODEHT000254967,ISM,True,True
ENCODEHT000560503,ISM,False,False
ENCODEHT000533594,NIC,True,True
ENCODEHT000533596,NIC,True,True
ENCODEHT000533602,NIC,True,True
ENCODEHT000533604,NIC,False,False
ENCODEHT000560512,NIC,True,True
ENCODEHT000560515,NIC,True,True
ENCODEHT000193210,NIC,False,False
ENCODEHT000533612,NNC,False,False
ENCODEHT000533613,NIC,False,False
ENCODEHT000533616,NIC,False,False
ENCODEHT000533618,NNC,False,False
ENCODEHT000533619,NIC,False,False
ENCODEHT000560519,NIC,False,False
ENCODEHT000533625,ISM,False,False
ENCODEHT000254983,ISM,False,False
ENCODEHT000533626,ISM,True,True
ENST00000468561.2,Known,True,True
ENST00000487949.4,Known,True,True
ENCODEHT000533628,ISM,True,True
ENST00000351136.7,Known,True,True
ENST00000377674.8,Known,True,True
ENST00000377658.8,Known,True,True
ENST00000377648.4,Known,True,True
ENST00000054650.8,Known,False,True
ENCODEHT000193233,ISM,True,True
ENCODEHT000560530,NNC,False,False
ENCODEHT000325243,NIC,True,True
ENST00000377577.9,Known,True,True
ENCODEHT000398312,ISM,True,True
ENCODEHT000560533,ISM,True,True
ENST00000294401.11,Known,True,True
ENCODEHT000358354,ISM,True,True
