transcript_id,novelty,illumina_sj_support,gencode_sj_support
ENSMUST00000159265.1,Known,True,True
ENSMUST00000192650.5,Known,True,True
ENSMUST00000191939.1,Known,True,True
ENSMUST00000130201.7,Known,True,True
ENSMUST00000156816.6,Known,True,True
TALONT00000131085,ISM,False,False
TALONT00000131087,NIC,True,True
TALONT00000131088,ISM,True,True
TALONT00000262609,NIC,True,True
TALONT00000131090,ISM,True,True
ENSMUST00000146665.2,Known,True,True
TALONT00000262611,ISM,True,True
ENSMUST00000027036.10,Known,True,True
ENSMUST00000115529.7,Known,True,True
ENSMUST00000081551.13,Known,True,True
TALONT00000131097,ISM,True,True
TALONT00000131098,ISM,True,True
TALONT00000131099,ISM,True,True
TALONT00000131100,NNC,True,False
TALONT00000131101,ISM,True,True
TALONT00000131102,ISM,True,False
TALONT00000131103,ISM,True,False
TALONT00000262618,ISM,True,True
TALONT00000343228,ISM,True,True
TALONT00000262631,ISM,True,True
TALONT00000131108,ISM,True,True
TALONT00000131111,ISM,False,False
ENSMUST00000002533.14,Known,True,True
TALONT00000131115,ISM,True,True
TALONT00000131120,ISM,True,True
ENSMUST00000044369.12,Known,True,True
TALONT00000131131,ISM,True,True
TALONT00000131132,NIC,True,False
TALONT00000131135,NIC,True,False
TALONT00000262643,ISM,True,True
TALONT00000131143,ISM,True,True
ENSMUST00000192698.2,Known,True,True
TALONT00000131147,NIC,True,True
TALONT00000131148,NIC,False,False
TALONT00000343241,NIC,False,False
ENSMUST00000192142.1,Known,True,True
TALONT00000262654,ISM,True,True
TALONT00000131152,ISM,True,True
TALONT00000131153,ISM,True,True
TALONT00000131158,ISM,True,True
TALONT00000131159,ISM,True,True
TALONT00000131162,ISM,True,True
TALONT00000131164,ISM,True,True
TALONT00000131166,ISM,True,True
TALONT00000131167,ISM,True,True
TALONT00000131168,ISM,True,True
TALONT00000131169,ISM,True,True
TALONT00000131170,ISM,False,False
ENSMUST00000160777.7,Known,True,True
ENSMUST00000027038.10,Known,True,True
ENSMUST00000160339.1,Known,True,True
ENSMUST00000044180.4,Known,False,False
TALONT00000131180,NIC,True,True
TALONT00000131181,ISM,True,True
TALONT00000131183,ISM,True,True
TALONT00000131185,NIC,True,True
TALONT00000343254,NNC,False,False
TALONT00000131191,ISM,True,True
TALONT00000131192,ISM,True,True
ENSMUST00000159802.1,Known,True,True
TALONT00000131193,ISM,True,True
TALONT00000131194,ISM,True,True
TALONT00000131195,ISM,True,True
TALONT00000131203,NIC,True,True
TALONT00000131207,ISM,True,True
ENSMUST00000159656.1,Known,True,True
TALONT00000131211,ISM,False,False
ENSMUST00000159618.1,antisense,True,True
ENSMUST00000159618.1,Known,True,True
TALONT00000343265,ISM,True,True
TALONT00000343267,ISM,True,True
ENSMUST00000151281.7,Known,True,True
TALONT00000262679,ISM,True,True
TALONT00000343269,NIC,True,True
TALONT00000343276,ISM,True,True
TALONT00000343279,ISM,True,True
ENSMUST00000061280.16,Known,True,True
TALONT00000131229,NIC,True,True
ENSMUST00000182114.7,Known,True,True
TALONT00000343281,NIC,False,False
TALONT00000343282,NIC,False,False
TALONT00000262692,ISM,True,True
TALONT00000343283,NIC,True,True
ENSMUST00000182892.7,Known,True,True
TALONT00000262695,ISM,True,True
TALONT00000262696,ISM,False,False
ENSMUST00000181554.1,Known,False,True
TALONT00000131248,ISM,True,True
TALONT00000262712,ISM,True,True
TALONT00000131253,NIC,True,True
TALONT00000131267,ISM,True,True
ENSMUST00000072079.8,Known,False,False
ENSMUST00000144177.7,Known,True,True
ENSMUST00000027044.14,Known,True,True
TALONT00000343307,NIC,True,False
TALONT00000131282,ISM,True,True
ENSMUST00000115480.7,antisense,True,True
ENSMUST00000115480.7,Known,True,True
ENSMUST00000088666.3,Known,True,True
TALONT00000131290,ISM,True,True
TALONT00000131292,ISM,True,True
TALONT00000131293,ISM,False,False
ENSMUST00000057438.6,Known,True,True
ENSMUST00000166384.7,Known,True,True
ENSMUST00000188782.6,Known,False,True
ENSMUST00000168907.7,Known,True,True
ENSMUST00000171265.7,Known,True,True
ENSMUST00000188830.6,Known,False,True
ENSMUST00000097826.5,Known,True,True
TALONT00000131316,ISM,False,False
ENSMUST00000182580.7,Known,True,True
ENSMUST00000182819.7,Known,True,True
ENSMUST00000182742.1,Known,True,True
ENSMUST00000027049.9,Known,True,True
ENSMUST00000027050.9,Known,True,True
TALONT00000131326,NIC,True,True
TALONT00000131327,NIC,True,True
TALONT00000131331,NIC,True,True
ENSMUST00000139578.7,Known,True,True
ENSMUST00000190610.1,Known,False,False
ENSMUST00000143606.7,Known,True,True
ENSMUST00000122156.7,Known,True,True
ENSMUST00000190063.6,Known,True,True
TALONT00000131345,NIC,True,True
TALONT00000131348,ISM,True,True
TALONT00000262785,ISM,True,True
TALONT00000343348,ISM,True,True
TALONT00000343349,ISM,True,True
ENSMUST00000187417.1,Known,True,True
TALONT00000343355,ISM,True,True
TALONT00000343357,ISM,True,True
TALONT00000131354,ISM,True,True
ENSMUST00000035577.6,Known,False,True
ENSMUST00000027056.11,Known,True,True
TALONT00000131363,ISM,True,True
TALONT00000131364,ISM,True,True
TALONT00000131365,ISM,True,True
TALONT00000131366,ISM,True,True
TALONT00000131367,ISM,True,True
TALONT00000131369,ISM,True,True
TALONT00000343362,ISM,True,True
ENSMUST00000171690.8,Known,True,True
ENSMUST00000048613.13,Known,True,True
TALONT00000131378,NIC,True,False
TALONT00000131379,NIC,True,True
TALONT00000131380,NIC,True,True
TALONT00000131382,NIC,True,True
ENSMUST00000150870.7,Known,True,True
TALONT00000343380,ISM,True,True
TALONT00000343383,NIC,True,True
TALONT00000343387,NIC,True,False
ENSMUST00000135014.7,Known,True,True
TALONT00000343389,NIC,True,True
ENSMUST00000137824.7,Known,True,True
ENSMUST00000179089.7,Known,True,True
ENSMUST00000177608.7,Known,True,True
ENSMUST00000185780.1,Known,True,True
ENSMUST00000027068.10,Known,True,True
TALONT00000131427,NIC,True,True
